"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"7710","consent.html","external-html","0","7817","0.0-0.0","bwu3cjp16p9cf0lco2tk","female","journey","","","","","",""
"1765","","image-button-response","1","9583","0.0-1.0","bwu3cjp16p9cf0lco2tk","female","journey","check-1.png","1","check1","","",""
"3731","","image-button-response","2","13315","0.0-2.0","bwu3cjp16p9cf0lco2tk","female","journey","check-2.png","2","check2","","",""
"30390","","instructions","3","43705","0.0-3.0","bwu3cjp16p9cf0lco2tk","female","journey","","","","[{""page_index"":0,""viewing_time"":5479},{""page_index"":1,""viewing_time"":16241},{""page_index"":2,""viewing_time"":5101},{""page_index"":3,""viewing_time"":1420},{""page_index"":2,""viewing_time"":1305},{""page_index"":3,""viewing_time"":844}]","",""
"29001","","html-slider-response","4","72707","0.0-4.0","bwu3cjp16p9cf0lco2tk","female","journey","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_fj.png"" class=""main-trial""/>","","trial","","50",""
"29291","","survey-text","5","101999","0.0-5.0","bwu3cjp16p9cf0lco2tk","female","journey","","","description","","","{""Q0"":""That she really needs the money. That cancer sucks and can wreck a person's entire financial situation.""}"
"7569","","survey-likert","6","109569","0.0-6.0-0.0","bwu3cjp16p9cf0lco2tk","female","journey","","","sympathy","","","{""Q0"":6}"
"2134","","survey-likert","7","111704","0.0-6.0-1.0","bwu3cjp16p9cf0lco2tk","female","journey","","","urgent","","","{""Q0"":6}"
"2896","","survey-text","8","114601","0.0-7.0","bwu3cjp16p9cf0lco2tk","female","journey","","","past-donations","","","{""Q0"":""0""}"
"3019","","survey-multi-choice","9","117622","0.0-8.0-0.0","bwu3cjp16p9cf0lco2tk","female","journey","","","ff-cancer","","","{""Q0"":""Yes""}"
"2502","","survey-multi-choice","10","120126","0.0-8.0-1.0","bwu3cjp16p9cf0lco2tk","female","journey","","","self-cancer","","","{""Q0"":""No""}"
"11431","","survey-multi-choice","11","131569","0.0-9.0","bwu3cjp16p9cf0lco2tk","female","journey","","","demographics","","","{""Q0"":""Female"",""Q1"":""High school degree or equivalent (e.g. GED)"",""Q2"":""$10,000 through $24,999"",""Q3"":""Yes""}"
"3558","","survey-text","12","135128","0.0-10.0","bwu3cjp16p9cf0lco2tk","female","journey","","","age","","","{""Q0"":""30""}"
"2878","","survey-text","13","138006","0.0-11.0","bwu3cjp16p9cf0lco2tk","female","journey","","","purpose","","","{""Q0"":""""}"
"2830","","survey-text","14","140836","0.0-12.0","bwu3cjp16p9cf0lco2tk","female","journey","","","feedback","","","{""Q0"":""""}"
"3494","debrief.html","external-html","15","144681","0.0-13.0","bwu3cjp16p9cf0lco2tk","female","journey","","","","","",""
