"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"19908","consent.html","external-html","0","21307","0.0-0.0","fujzlf3fdkza0q7k0l2l","male","battle","","","","","",""
"3218","","image-button-response","1","24542","0.0-1.0","fujzlf3fdkza0q7k0l2l","male","battle","check-1.png","2","check1","","",""
"2066","","image-button-response","2","26617","0.0-2.0","fujzlf3fdkza0q7k0l2l","male","battle","check-2.png","2","check2","","",""
"8781","","instructions","3","35403","0.0-3.0","fujzlf3fdkza0q7k0l2l","male","battle","","","","[{""page_index"":0,""viewing_time"":2515},{""page_index"":1,""viewing_time"":1859},{""page_index"":2,""viewing_time"":1994},{""page_index"":3,""viewing_time"":2410}]","",""
"13140","","html-slider-response","4","48553","0.0-4.0","fujzlf3fdkza0q7k0l2l","male","battle","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_mb.png"" class=""main-trial""/>","","trial","","40",""
"4011","","survey-text","5","52572","0.0-5.0","fujzlf3fdkza0q7k0l2l","male","battle","","","description","","","{""Q0"":""""}"
"7002","","survey-likert","6","59587","0.0-6.0-0.0","fujzlf3fdkza0q7k0l2l","male","battle","","","urgent","","","{""Q0"":5}"
"4235","","survey-likert","7","63829","0.0-6.0-1.0","fujzlf3fdkza0q7k0l2l","male","battle","","","sympathy","","","{""Q0"":6}"
"7666","","survey-text","8","71503","0.0-7.0","fujzlf3fdkza0q7k0l2l","male","battle","","","past-donations","","","{""Q0"":""200""}"
"8743","","survey-multi-choice","9","80258","0.0-8.0-0.0","fujzlf3fdkza0q7k0l2l","male","battle","","","ff-cancer","","","{""Q0"":""No""}"
"3670","","survey-multi-choice","10","83942","0.0-8.0-1.0","fujzlf3fdkza0q7k0l2l","male","battle","","","self-cancer","","","{""Q0"":""No""}"
"16395","","survey-multi-choice","11","100368","0.0-9.0","fujzlf3fdkza0q7k0l2l","male","battle","","","demographics","","","{""Q0"":""Male"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$50,000 through $74,999"",""Q3"":""Yes""}"
"9782","","survey-text","12","110157","0.0-10.0","fujzlf3fdkza0q7k0l2l","male","battle","","","age","","","{""Q0"":""29""}"
"2224","","survey-text","13","112398","0.0-11.0","fujzlf3fdkza0q7k0l2l","male","battle","","","purpose","","","{""Q0"":""""}"
"1851","","survey-text","14","114249","0.0-12.0","fujzlf3fdkza0q7k0l2l","male","battle","","","feedback","","","{""Q0"":""""}"
"26622","debrief.html","external-html","15","141930","0.0-13.0","fujzlf3fdkza0q7k0l2l","male","battle","","","","","",""
