"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"6560","consent.html","external-html","0","6687","0.0-0.0","jnnauems7m7sm6lxfuk5","male","literal","","","","","",""
"1944","","image-button-response","1","8635","0.0-1.0","jnnauems7m7sm6lxfuk5","male","literal","check-1.png","1","check1","","",""
"5178","","image-button-response","2","13815","0.0-2.0","jnnauems7m7sm6lxfuk5","male","literal","check-2.png","2","check2","","",""
"19694","","instructions","3","33509","0.0-3.0","jnnauems7m7sm6lxfuk5","male","literal","","","","[{""page_index"":0,""viewing_time"":5297},{""page_index"":1,""viewing_time"":10456},{""page_index"":2,""viewing_time"":2644},{""page_index"":3,""viewing_time"":1296}]","",""
"8999","","html-slider-response","4","42511","0.0-4.0","jnnauems7m7sm6lxfuk5","male","literal","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_ml.png"" class=""main-trial""/>","","trial","","0",""
"28484","","survey-text","5","70997","0.0-5.0","jnnauems7m7sm6lxfuk5","male","literal","","","description","","","{""Q0"":""Jason needs help and would like you to donate to his cause. Please help with the cost that Jason needs. ""}"
"6839","","survey-likert","6","77837","0.0-6.0-0.0","jnnauems7m7sm6lxfuk5","male","literal","","","urgent","","","{""Q0"":3}"
"5148","","survey-likert","7","82987","0.0-6.0-1.0","jnnauems7m7sm6lxfuk5","male","literal","","","sympathy","","","{""Q0"":2}"
"3225","","survey-text","8","86213","0.0-7.0","jnnauems7m7sm6lxfuk5","male","literal","","","past-donations","","","{""Q0"":""0""}"
"2875","","survey-multi-choice","9","89091","0.0-8.0-0.0","jnnauems7m7sm6lxfuk5","male","literal","","","self-cancer","","","{""Q0"":""No""}"
"2601","","survey-multi-choice","10","91695","0.0-8.0-1.0","jnnauems7m7sm6lxfuk5","male","literal","","","ff-cancer","","","{""Q0"":""Yes""}"
"12991","","survey-multi-choice","11","104693","0.0-9.0","jnnauems7m7sm6lxfuk5","male","literal","","","demographics","","","{""Q0"":""Female"",""Q1"":""Master’s degree (e.g. MA, MS, MEd)"",""Q2"":""$75,000 through $99,999"",""Q3"":""Yes""}"
"2617","","survey-text","12","107313","0.0-10.0","jnnauems7m7sm6lxfuk5","male","literal","","","age","","","{""Q0"":""54""}"
"5234","","survey-text","13","112549","0.0-11.0","jnnauems7m7sm6lxfuk5","male","literal","","","purpose","","","{""Q0"":""I don't know""}"
"3147","","survey-text","14","115697","0.0-12.0","jnnauems7m7sm6lxfuk5","male","literal","","","feedback","","","{""Q0"":""no""}"
"5929","debrief.html","external-html","15","122053","0.0-13.0","jnnauems7m7sm6lxfuk5","male","literal","","","","","",""
