"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"9258","consent.html","external-html","0","9657","0.0-0.0","k7l4v49kcemjje9svjrc","male","battle","","","","","",""
"2286","","image-button-response","1","11954","0.0-1.0","k7l4v49kcemjje9svjrc","male","battle","check-1.png","1","check1","","",""
"2740","","image-button-response","2","14697","0.0-2.0","k7l4v49kcemjje9svjrc","male","battle","check-2.png","2","check2","","",""
"32681","","instructions","3","47380","0.0-3.0","k7l4v49kcemjje9svjrc","male","battle","","","","[{""page_index"":0,""viewing_time"":5978},{""page_index"":1,""viewing_time"":18345},{""page_index"":2,""viewing_time"":7144},{""page_index"":3,""viewing_time"":1212}]","",""
"53479","","html-slider-response","4","100863","0.0-4.0","k7l4v49kcemjje9svjrc","male","battle","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_male_battle.png"" class=""main-trial""/>","","trial","","25",""
"51837","","survey-text","5","152707","0.0-5.0","k7l4v49kcemjje9svjrc","male","battle","","","description","","","{""Q0"":""Jason is a young person who is very sick and needs chemotherapy. He is a fighter and a great person that deserves a lot of support.""}"
"8839","","survey-likert","6","161552","0.0-6.0-0.0","k7l4v49kcemjje9svjrc","male","battle","","","sympathy","","","{""Q0"":5}"
"3747","","survey-likert","7","165304","0.0-6.0-1.0","k7l4v49kcemjje9svjrc","male","battle","","","urgent","","","{""Q0"":4}"
"4980","","survey-text","8","170290","0.0-7.0","k7l4v49kcemjje9svjrc","male","battle","","","past-donations","","","{""Q0"":""4""}"
"5424","","survey-multi-choice","9","175723","0.0-8.0-0.0","k7l4v49kcemjje9svjrc","male","battle","","","ff-cancer","","","{""Q0"":""Yes""}"
"2957","","survey-multi-choice","10","178684","0.0-8.0-1.0","k7l4v49kcemjje9svjrc","male","battle","","","self-cancer","","","{""Q0"":""No""}"
"10916","","survey-multi-choice","11","189620","0.0-9.0","k7l4v49kcemjje9svjrc","male","battle","","","demographics","","","{""Q0"":""Female"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""Less than $10,000"",""Q3"":""No""}"
"4387","","survey-text","12","194010","0.0-10.0","k7l4v49kcemjje9svjrc","male","battle","","","age","","","{""Q0"":""39""}"
"1561","","survey-text","13","195574","0.0-11.0","k7l4v49kcemjje9svjrc","male","battle","","","purpose","","","{""Q0"":""""}"
"4945","","survey-text","14","200522","0.0-12.0","k7l4v49kcemjje9svjrc","male","battle","","","feedback","","","{""Q0"":""""}"
"20502","debrief.html","external-html","15","221443","0.0-13.0","k7l4v49kcemjje9svjrc","male","battle","","","","","",""
