"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"13116","consent.html","external-html","0","13225","0.0-0.0","kj363efvxh9pebyx3art","male","battle","","","","","",""
"2736","","image-button-response","1","15965","0.0-1.0","kj363efvxh9pebyx3art","male","battle","check-1.png","1","check1","","",""
"3469","","image-button-response","2","19436","0.0-2.0","kj363efvxh9pebyx3art","male","battle","check-2.png","2","check2","","",""
"40888","","instructions","3","60325","0.0-3.0","kj363efvxh9pebyx3art","male","battle","","","","[{""page_index"":0,""viewing_time"":6285},{""page_index"":1,""viewing_time"":24675},{""page_index"":2,""viewing_time"":5032},{""page_index"":3,""viewing_time"":1492},{""page_index"":2,""viewing_time"":2471},{""page_index"":3,""viewing_time"":932}]","",""
"29955","","html-slider-response","4","90282","0.0-4.0","kj363efvxh9pebyx3art","male","battle","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_mb.png"" class=""main-trial""/>","","trial","","0",""
"30012","","survey-text","5","120296","0.0-5.0","kj363efvxh9pebyx3art","male","battle","","","description","","","{""Q0"":""Jason seems to be in dire shape, and needs help. I wish I could help Jason, but I need money too. Jason seems to be doing a little better.""}"
"6798","","survey-likert","6","127096","0.0-6.0-0.0","kj363efvxh9pebyx3art","male","battle","","","sympathy","","","{""Q0"":6}"
"2965","","survey-likert","7","130063","0.0-6.0-1.0","kj363efvxh9pebyx3art","male","battle","","","urgent","","","{""Q0"":4}"
"5603","","survey-text","8","135667","0.0-7.0","kj363efvxh9pebyx3art","male","battle","","","past-donations","","","{""Q0"":""0""}"
"3293","","survey-multi-choice","9","138963","0.0-8.0-0.0","kj363efvxh9pebyx3art","male","battle","","","self-cancer","","","{""Q0"":""No""}"
"2142","","survey-multi-choice","10","141108","0.0-8.0-1.0","kj363efvxh9pebyx3art","male","battle","","","ff-cancer","","","{""Q0"":""Yes""}"
"21684","","survey-multi-choice","11","162803","0.0-9.0","kj363efvxh9pebyx3art","male","battle","","","demographics","","","{""Q0"":""Female"",""Q1"":""High school degree or equivalent (e.g. GED)"",""Q2"":""$25,000 through $49,999"",""Q3"":""Yes""}"
"3112","","survey-text","12","165917","0.0-10.0","kj363efvxh9pebyx3art","male","battle","","","age","","","{""Q0"":""31""}"
"19984","","survey-text","13","185903","0.0-11.0","kj363efvxh9pebyx3art","male","battle","","","purpose","","","{""Q0"":""generosity ""}"
"1174","","survey-text","14","187077","0.0-12.0","kj363efvxh9pebyx3art","male","battle","","","feedback","","","{""Q0"":""""}"
"24143","debrief.html","external-html","15","211553","0.0-13.0","kj363efvxh9pebyx3art","male","battle","","","","","",""
