"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"7681","consent.html","external-html","0","7881","0.0-0.0","r48mlhq9og4zo8wah5wz","female","battle","","","","","",""
"5602","","image-button-response","1","13499","0.0-1.0","r48mlhq9og4zo8wah5wz","female","battle","check-1.png","1","check1","","",""
"3052","","image-button-response","2","16557","0.0-2.0","r48mlhq9og4zo8wah5wz","female","battle","check-2.png","2","check2","","",""
"83940","","instructions","3","100500","0.0-3.0","r48mlhq9og4zo8wah5wz","female","battle","","","","[{""page_index"":0,""viewing_time"":10239},{""page_index"":1,""viewing_time"":62735},{""page_index"":2,""viewing_time"":8697},{""page_index"":3,""viewing_time"":2255}]","",""
"64032","","html-slider-response","4","164547","0.0-4.0","r48mlhq9og4zo8wah5wz","female","battle","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_female_battle.png"" class=""main-trial""/>","","trial","","15",""
"82896","","survey-text","5","247451","0.0-5.0","r48mlhq9og4zo8wah5wz","female","battle","","","description","","","{""Q0"":""Battling lymphoma and faces several rounds of treatment over the next few months. The campaign is raising money to help her through it and talks about her positively, describing her has having a heart of gold. ""}"
"10638","","survey-likert","6","258111","0.0-6.0-0.0","r48mlhq9og4zo8wah5wz","female","battle","","","urgent","","","{""Q0"":5}"
"6233","","survey-likert","7","264352","0.0-6.0-1.0","r48mlhq9og4zo8wah5wz","female","battle","","","sympathy","","","{""Q0"":6}"
"8597","","survey-text","8","272955","0.0-7.0","r48mlhq9og4zo8wah5wz","female","battle","","","past-donations","","","{""Q0"":""12""}"
"4498","","survey-multi-choice","9","277468","0.0-8.0-0.0","r48mlhq9og4zo8wah5wz","female","battle","","","ff-cancer","","","{""Q0"":""Yes""}"
"2728","","survey-multi-choice","10","280209","0.0-8.0-1.0","r48mlhq9og4zo8wah5wz","female","battle","","","self-cancer","","","{""Q0"":""No""}"
"15245","","survey-multi-choice","11","295500","0.0-9.0","r48mlhq9og4zo8wah5wz","female","battle","","","demographics","","","{""Q0"":""Male"",""Q1"":""Associate degree (e.g. AA, AS)"",""Q2"":""$50,000 through $74,999"",""Q3"":""Yes""}"
"3915","","survey-text","12","299422","0.0-10.0","r48mlhq9og4zo8wah5wz","female","battle","","","age","","","{""Q0"":""38""}"
"34351","","survey-text","13","333779","0.0-11.0","r48mlhq9og4zo8wah5wz","female","battle","","","purpose","","","{""Q0"":""Which demographics would be more sympathetic to a cause and be willing to donate more to it.""}"
"3086","","survey-text","14","336872","0.0-12.0","r48mlhq9og4zo8wah5wz","female","battle","","","feedback","","","{""Q0"":""""}"
"1993","debrief.html","external-html","15","339321","0.0-13.0","r48mlhq9og4zo8wah5wz","female","battle","","","","","",""
