"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"5863","consent.html","external-html","0","5956","0.0-0.0","tydvkxt8xv1nkl4l7spw","male","journey","","","","","",""
"1801","","image-button-response","1","7758","0.0-1.0","tydvkxt8xv1nkl4l7spw","male","journey","check-1.png","1","check1","","",""
"2658","","image-button-response","2","10418","0.0-2.0","tydvkxt8xv1nkl4l7spw","male","journey","check-2.png","2","check2","","",""
"18491","","instructions","3","28909","0.0-3.0","tydvkxt8xv1nkl4l7spw","male","journey","","","","[{""page_index"":0,""viewing_time"":3369},{""page_index"":1,""viewing_time"":9590},{""page_index"":2,""viewing_time"":4677},{""page_index"":3,""viewing_time"":855}]","",""
"27183","","html-slider-response","4","56093","0.0-4.0","tydvkxt8xv1nkl4l7spw","male","journey","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_mj.png"" class=""main-trial""/>","","trial","","0",""
"97181","","survey-text","5","153276","0.0-5.0","tydvkxt8xv1nkl4l7spw","male","journey","","","description","","","{""Q0"":""Jason has lymphoma and need money. In 3-4 months he will be hopefully better.""}"
"5577","","survey-likert","6","158854","0.0-6.0-0.0","tydvkxt8xv1nkl4l7spw","male","journey","","","sympathy","","","{""Q0"":4}"
"4458","","survey-likert","7","163313","0.0-6.0-1.0","tydvkxt8xv1nkl4l7spw","male","journey","","","urgent","","","{""Q0"":4}"
"3972","","survey-text","8","167286","0.0-7.0","tydvkxt8xv1nkl4l7spw","male","journey","","","past-donations","","","{""Q0"":""0""}"
"2604","","survey-multi-choice","9","169892","0.0-8.0-0.0","tydvkxt8xv1nkl4l7spw","male","journey","","","self-cancer","","","{""Q0"":""No""}"
"2188","","survey-multi-choice","10","172082","0.0-8.0-1.0","tydvkxt8xv1nkl4l7spw","male","journey","","","ff-cancer","","","{""Q0"":""No""}"
"10107","","survey-multi-choice","11","182196","0.0-9.0","tydvkxt8xv1nkl4l7spw","male","journey","","","demographics","","","{""Q0"":""Male"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$10,000 through $24,999"",""Q3"":""Yes""}"
"3420","","survey-text","12","185617","0.0-10.0","tydvkxt8xv1nkl4l7spw","male","journey","","","age","","","{""Q0"":""25""}"
"50804","","survey-text","13","236422","0.0-11.0","tydvkxt8xv1nkl4l7spw","male","journey","","","purpose","","","{""Q0"":""How much people will donate based on how positive or negative the messaging of the gofundme is.""}"
"2869","","survey-text","14","239292","0.0-12.0","tydvkxt8xv1nkl4l7spw","male","journey","","","feedback","","","{""Q0"":""""}"
"11798","debrief.html","external-html","15","251353","0.0-13.0","tydvkxt8xv1nkl4l7spw","male","journey","","","","","",""
