"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"16412","consent.html","external-html","0","16956","0.0-0.0","wxhlawvwd0mm9s2jeupa","male","journey","","","","","",""
"5252","","image-button-response","1","22220","0.0-1.0","wxhlawvwd0mm9s2jeupa","male","journey","check-1.png","1","check1","","",""
"8008","","image-button-response","2","30235","0.0-2.0","wxhlawvwd0mm9s2jeupa","male","journey","check-2.png","2","check2","","",""
"44404","","instructions","3","74643","0.0-3.0","wxhlawvwd0mm9s2jeupa","male","journey","","","","[{""page_index"":0,""viewing_time"":11938},{""page_index"":1,""viewing_time"":14584},{""page_index"":2,""viewing_time"":15104},{""page_index"":3,""viewing_time"":2776}]","",""
"31182","","html-slider-response","4","105833","0.0-4.0","wxhlawvwd0mm9s2jeupa","male","journey","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_male_journey.png"" class=""main-trial""/>","","trial","","35",""
"82421","","survey-text","5","188259","0.0-5.0","wxhlawvwd0mm9s2jeupa","male","journey","","","description","","","{""Q0"":""friendship Sentence Examples. I don't think our friendship will survive what is coming. Their friendship had been destroyed by one night of passion. It was meant to be the final act of their friendship.""}"
"28104","","survey-likert","6","216372","0.0-6.0-0.0","wxhlawvwd0mm9s2jeupa","male","journey","","","urgent","","","{""Q0"":5}"
"9938","","survey-likert","7","226315","0.0-6.0-1.0","wxhlawvwd0mm9s2jeupa","male","journey","","","sympathy","","","{""Q0"":6}"
"26026","","survey-text","8","252346","0.0-7.0","wxhlawvwd0mm9s2jeupa","male","journey","","","past-donations","","","{""Q0"":""3""}"
"37371","","survey-multi-choice","9","289726","0.0-8.0-0.0","wxhlawvwd0mm9s2jeupa","male","journey","","","ff-cancer","","","{""Q0"":""No""}"
"36720","","survey-multi-choice","10","326451","0.0-8.0-1.0","wxhlawvwd0mm9s2jeupa","male","journey","","","self-cancer","","","{""Q0"":""No""}"
"22443","","survey-multi-choice","11","348925","0.0-9.0","wxhlawvwd0mm9s2jeupa","male","journey","","","demographics","","","{""Q0"":""Male"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$75,000 through $99,999"",""Q3"":""Yes""}"
"7391","","survey-text","12","356321","0.0-10.0","wxhlawvwd0mm9s2jeupa","male","journey","","","age","","","{""Q0"":""30""}"
"22222","","survey-text","13","378546","0.0-11.0","wxhlawvwd0mm9s2jeupa","male","journey","","","purpose","","","{""Q0"":""""}"
"15139","","survey-text","14","393689","0.0-12.0","wxhlawvwd0mm9s2jeupa","male","journey","","","feedback","","","{""Q0"":""Good study""}"
"23656","debrief.html","external-html","15","419611","0.0-13.0","wxhlawvwd0mm9s2jeupa","male","journey","","","","","",""
