"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"19680","consent.html","external-html","0","19787","0.0-0.0","wz18l8xwb5fgs4bd2dvc","female","literal","","","","","",""
"3143","","image-button-response","1","22936","0.0-1.0","wz18l8xwb5fgs4bd2dvc","female","literal","check-1.png","1","check1","","",""
"3937","","image-button-response","2","26875","0.0-2.0","wz18l8xwb5fgs4bd2dvc","female","literal","check-2.png","2","check2","","",""
"31589","","instructions","3","58465","0.0-3.0","wz18l8xwb5fgs4bd2dvc","female","literal","","","","[{""page_index"":0,""viewing_time"":6923},{""page_index"":1,""viewing_time"":17583},{""page_index"":2,""viewing_time"":3075},{""page_index"":3,""viewing_time"":4006}]","",""
"22614","","html-slider-response","4","81082","0.0-4.0","wz18l8xwb5fgs4bd2dvc","female","literal","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_fl.png"" class=""main-trial""/>","","trial","","35",""
"51923","","survey-text","5","133009","0.0-5.0","wz18l8xwb5fgs4bd2dvc","female","literal","","","description","","","{""Q0"":""she is struggling with the effects from lymphoma and side effects of it. ""}"
"8318","","survey-likert","6","141330","0.0-6.0-0.0","wz18l8xwb5fgs4bd2dvc","female","literal","","","urgent","","","{""Q0"":4}"
"6244","","survey-likert","7","147577","0.0-6.0-1.0","wz18l8xwb5fgs4bd2dvc","female","literal","","","sympathy","","","{""Q0"":6}"
"6963","","survey-text","8","154543","0.0-7.0","wz18l8xwb5fgs4bd2dvc","female","literal","","","past-donations","","","{""Q0"":""10""}"
"3556","","survey-multi-choice","9","158104","0.0-8.0-0.0","wz18l8xwb5fgs4bd2dvc","female","literal","","","self-cancer","","","{""Q0"":""No""}"
"3904","","survey-multi-choice","10","162012","0.0-8.0-1.0","wz18l8xwb5fgs4bd2dvc","female","literal","","","ff-cancer","","","{""Q0"":""Yes""}"
"24623","","survey-multi-choice","11","186648","0.0-9.0","wz18l8xwb5fgs4bd2dvc","female","literal","","","demographics","","","{""Q0"":""Female"",""Q1"":""Associate degree (e.g. AA, AS)"",""Q2"":""$10,000 through $24,999"",""Q3"":""Yes""}"
"3398","","survey-text","12","190048","0.0-10.0","wz18l8xwb5fgs4bd2dvc","female","literal","","","age","","","{""Q0"":""21""}"
"23776","","survey-text","13","213827","0.0-11.0","wz18l8xwb5fgs4bd2dvc","female","literal","","","purpose","","","{""Q0"":""Peoples sympathy levels and likelihood of donating a certain amount to charity""}"
"3420","","survey-text","14","217249","0.0-12.0","wz18l8xwb5fgs4bd2dvc","female","literal","","","feedback","","","{""Q0"":""no""}"
"12048","debrief.html","external-html","15","229672","0.0-13.0","wz18l8xwb5fgs4bd2dvc","female","literal","","","","","",""
