"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"7850","consent.html","external-html","0","8000","0.0-0.0","1dn499wmdl6wfuj4bmkp","male","journey","","","","","",""
"2071","","image-button-response","1","10077","0.0-1.0","1dn499wmdl6wfuj4bmkp","male","journey","check-1.png","1","check1","","",""
"2538","","image-button-response","2","12617","0.0-2.0","1dn499wmdl6wfuj4bmkp","male","journey","check-2.png","2","check2","","",""
"21108","","instructions","3","33727","0.0-3.0","1dn499wmdl6wfuj4bmkp","male","journey","","","","[{""page_index"":0,""viewing_time"":4678},{""page_index"":1,""viewing_time"":12578},{""page_index"":2,""viewing_time"":2938},{""page_index"":3,""viewing_time"":914}]","",""
"30677","","html-slider-response","4","64406","0.0-4.0","1dn499wmdl6wfuj4bmkp","male","journey","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_mj.png"" class=""main-trial""/>","","trial","","0",""
"75033","","survey-text","5","139442","0.0-5.0","1dn499wmdl6wfuj4bmkp","male","journey","","","description","","","{""Q0"":""jason's situation is very sad. he has lymphoma. he has to go through a lot of painful treatments. he needs money to help him survive. please give jason money if you have compassion for his suffering.""}"
"5342","","survey-likert","6","144786","0.0-6.0-0.0","1dn499wmdl6wfuj4bmkp","male","journey","","","urgent","","","{""Q0"":6}"
"2928","","survey-likert","7","147724","0.0-6.0-1.0","1dn499wmdl6wfuj4bmkp","male","journey","","","sympathy","","","{""Q0"":6}"
"3567","","survey-text","8","151302","0.0-7.0","1dn499wmdl6wfuj4bmkp","male","journey","","","past-donations","","","{""Q0"":""3""}"
"2652","","survey-multi-choice","9","153958","0.0-8.0-0.0","1dn499wmdl6wfuj4bmkp","male","journey","","","ff-cancer","","","{""Q0"":""Yes""}"
"2023","","survey-multi-choice","10","155990","0.0-8.0-1.0","1dn499wmdl6wfuj4bmkp","male","journey","","","self-cancer","","","{""Q0"":""No""}"
"12514","","survey-multi-choice","11","168520","0.0-9.0","1dn499wmdl6wfuj4bmkp","male","journey","","","demographics","","","{""Q0"":""Female"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$25,000 through $49,999"",""Q3"":""Yes""}"
"3156","","survey-text","12","171685","0.0-10.0","1dn499wmdl6wfuj4bmkp","male","journey","","","age","","","{""Q0"":""34""}"
"7155","","survey-text","13","178841","0.0-11.0","1dn499wmdl6wfuj4bmkp","male","journey","","","purpose","","","{""Q0"":""social networks""}"
"2351","","survey-text","14","181193","0.0-12.0","1dn499wmdl6wfuj4bmkp","male","journey","","","feedback","","","{""Q0"":""""}"
"14172","debrief.html","external-html","15","195645","0.0-13.0","1dn499wmdl6wfuj4bmkp","male","journey","","","","","",""
