"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"4814","consent.html","external-html","0","4966","0.0-0.0","36n96wuwy0f495mos6wp","female","journey","","","","","",""
"3068","","image-button-response","1","8047","0.0-1.0","36n96wuwy0f495mos6wp","female","journey","check-1.png","1","check1","","",""
"3622","","image-button-response","2","11675","0.0-2.0","36n96wuwy0f495mos6wp","female","journey","check-2.png","2","check2","","",""
"44239","","instructions","3","55916","0.0-3.0","36n96wuwy0f495mos6wp","female","journey","","","","[{""page_index"":0,""viewing_time"":5759},{""page_index"":1,""viewing_time"":35247},{""page_index"":2,""viewing_time"":2074},{""page_index"":3,""viewing_time"":1156}]","",""
"8050","","html-slider-response","4","63973","0.0-4.0","36n96wuwy0f495mos6wp","female","journey","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_fj.png"" class=""main-trial""/>","","trial","","20",""
"37067","","survey-text","5","101046","0.0-5.0","36n96wuwy0f495mos6wp","female","journey","","","description","","","{""Q0"":""Jennifer is in desperate need to be funded for her cancer as she is a good person, and battling a horrible disease.  I think everyone should come together and help Jennifer out.""}"
"6124","","survey-likert","6","107177","0.0-6.0-0.0","36n96wuwy0f495mos6wp","female","journey","","","sympathy","","","{""Q0"":5}"
"4170","","survey-likert","7","111353","0.0-6.0-1.0","36n96wuwy0f495mos6wp","female","journey","","","urgent","","","{""Q0"":4}"
"5102","","survey-text","8","116459","0.0-7.0","36n96wuwy0f495mos6wp","female","journey","","","past-donations","","","{""Q0"":""3""}"
"3224","","survey-multi-choice","9","119693","0.0-8.0-0.0","36n96wuwy0f495mos6wp","female","journey","","","self-cancer","","","{""Q0"":""No""}"
"2964","","survey-multi-choice","10","122665","0.0-8.0-1.0","36n96wuwy0f495mos6wp","female","journey","","","ff-cancer","","","{""Q0"":""Yes""}"
"7866","","survey-multi-choice","11","130567","0.0-9.0","36n96wuwy0f495mos6wp","female","journey","","","demographics","","","{""Q0"":""Female"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$50,000 through $74,999"",""Q3"":""Yes""}"
"3800","","survey-text","12","134373","0.0-10.0","36n96wuwy0f495mos6wp","female","journey","","","age","","","{""Q0"":""39""}"
"2755","","survey-text","13","137133","0.0-11.0","36n96wuwy0f495mos6wp","female","journey","","","purpose","","","{""Q0"":""""}"
"1351","","survey-text","14","138487","0.0-12.0","36n96wuwy0f495mos6wp","female","journey","","","feedback","","","{""Q0"":""""}"
"3853","debrief.html","external-html","15","142782","0.0-13.0","36n96wuwy0f495mos6wp","female","journey","","","","","",""
