"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"12213","consent.html","external-html","0","12761","0.0-0.0","hpgkt5a4usebmkj5vmh0","male","literal","","","","","",""
"1342","","image-button-response","1","14116","0.0-1.0","hpgkt5a4usebmkj5vmh0","male","literal","check-1.png","2","check1","","",""
"1401","","image-button-response","2","15522","0.0-2.0","hpgkt5a4usebmkj5vmh0","male","literal","check-2.png","0","check2","","",""
"3086","","instructions","3","18611","0.0-3.0","hpgkt5a4usebmkj5vmh0","male","literal","","","","[{""page_index"":0,""viewing_time"":965},{""page_index"":1,""viewing_time"":751},{""page_index"":2,""viewing_time"":704},{""page_index"":3,""viewing_time"":664}]","",""
"19259","","html-slider-response","4","37876","0.0-4.0","hpgkt5a4usebmkj5vmh0","male","literal","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_ml.png"" class=""main-trial""/>","","trial","","40",""
"18953","","survey-text","5","56835","0.0-5.0","hpgkt5a4usebmkj5vmh0","male","literal","","","description","","","{""Q0"":""I like coffee. Mary likes tea. → I like coffee, and Mary likes tea.\nMary went to work. John went to the party. I went home. → Mary went to work, but John went to the party, and I went home.\nOur car broke down. We came last. → Our car broke down; we came last.""}"
"2241","","survey-likert","6","59082","0.0-6.0-0.0","hpgkt5a4usebmkj5vmh0","male","literal","","","urgent","","","{""Q0"":4}"
"2151","","survey-likert","7","61236","0.0-6.0-1.0","hpgkt5a4usebmkj5vmh0","male","literal","","","sympathy","","","{""Q0"":2}"
"31863","","survey-text","8","93104","0.0-7.0","hpgkt5a4usebmkj5vmh0","male","literal","","","past-donations","","","{""Q0"":""2""}"
"1526","","survey-multi-choice","9","94635","0.0-8.0-0.0","hpgkt5a4usebmkj5vmh0","male","literal","","","ff-cancer","","","{""Q0"":""Yes""}"
"1634","","survey-multi-choice","10","96276","0.0-8.0-1.0","hpgkt5a4usebmkj5vmh0","male","literal","","","self-cancer","","","{""Q0"":""Yes""}"
"7064","","survey-multi-choice","11","103363","0.0-9.0","hpgkt5a4usebmkj5vmh0","male","literal","","","demographics","","","{""Q0"":""Female"",""Q1"":""Master’s degree (e.g. MA, MS, MEd)"",""Q2"":""$25,000 through $49,999"",""Q3"":""Yes""}"
"4062","","survey-text","12","107427","0.0-10.0","hpgkt5a4usebmkj5vmh0","male","literal","","","age","","","{""Q0"":""47""}"
"3245","","survey-text","13","110675","0.0-11.0","hpgkt5a4usebmkj5vmh0","male","literal","","","purpose","","","{""Q0"":""""}"
"2132","","survey-text","14","112809","0.0-12.0","hpgkt5a4usebmkj5vmh0","male","literal","","","feedback","","","{""Q0"":""""}"
"3703","debrief.html","external-html","15","117907","0.0-13.0","hpgkt5a4usebmkj5vmh0","male","literal","","","","","",""
