"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"10589","consent.html","external-html","0","10920","0.0-0.0","kdsjtzjw55s8yavwg2do","male","journey","","","","","",""
"5947","","image-button-response","1","16877","0.0-1.0","kdsjtzjw55s8yavwg2do","male","journey","check-1.png","1","check1","","",""
"19165","","image-button-response","2","36044","0.0-2.0","kdsjtzjw55s8yavwg2do","male","journey","check-2.png","2","check2","","",""
"23525","","instructions","3","59570","0.0-3.0","kdsjtzjw55s8yavwg2do","male","journey","","","","[{""page_index"":0,""viewing_time"":14025},{""page_index"":1,""viewing_time"":5675},{""page_index"":2,""viewing_time"":2355},{""page_index"":3,""viewing_time"":1468}]","",""
"6902","","html-slider-response","4","66478","0.0-4.0","kdsjtzjw55s8yavwg2do","male","journey","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_mj.png"" class=""main-trial""/>","","trial","","25",""
"2803","","survey-text","5","69284","0.0-5.0","kdsjtzjw55s8yavwg2do","male","journey","","","description","","","{""Q0"":""""}"
"5074","","survey-likert","6","74362","0.0-6.0-0.0","kdsjtzjw55s8yavwg2do","male","journey","","","sympathy","","","{""Q0"":2}"
"2563","","survey-likert","7","76929","0.0-6.0-1.0","kdsjtzjw55s8yavwg2do","male","journey","","","urgent","","","{""Q0"":3}"
"9657","","survey-text","8","86588","0.0-7.0","kdsjtzjw55s8yavwg2do","male","journey","","","past-donations","","","{""Q0"":""none""}"
"4685","","survey-multi-choice","9","91281","0.0-8.0-0.0","kdsjtzjw55s8yavwg2do","male","journey","","","self-cancer","","","{""Q0"":""No""}"
"11713","","survey-multi-choice","10","102999","0.0-8.0-1.0","kdsjtzjw55s8yavwg2do","male","journey","","","ff-cancer","","","{""Q0"":""No""}"
"38019","","survey-multi-choice","11","141038","0.0-9.0","kdsjtzjw55s8yavwg2do","male","journey","","","demographics","","","{""Q0"":""Male"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""Less than $10,000"",""Q3"":""Yes""}"
"5273","","survey-text","12","146315","0.0-10.0","kdsjtzjw55s8yavwg2do","male","journey","","","age","","","{""Q0"":""51""}"
"6469","","survey-text","13","152785","0.0-11.0","kdsjtzjw55s8yavwg2do","male","journey","","","purpose","","","{""Q0"":""""}"
"1761","","survey-text","14","154548","0.0-12.0","kdsjtzjw55s8yavwg2do","male","journey","","","feedback","","","{""Q0"":""""}"
"6657","debrief.html","external-html","15","162063","0.0-13.0","kdsjtzjw55s8yavwg2do","male","journey","","","","","",""
