"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"151502","consent.html","external-html","0","151955","0.0-0.0","qtkdvdxl7t1vdfaypbge","male","journey","","","","","",""
"4582","","image-button-response","1","156543","0.0-1.0","qtkdvdxl7t1vdfaypbge","male","journey","check-1.png","1","check1","","",""
"4483","","image-button-response","2","161029","0.0-2.0","qtkdvdxl7t1vdfaypbge","male","journey","check-2.png","2","check2","","",""
"83622","","instructions","3","244653","0.0-3.0","qtkdvdxl7t1vdfaypbge","male","journey","","","","[{""page_index"":0,""viewing_time"":9998},{""page_index"":1,""viewing_time"":61751},{""page_index"":2,""viewing_time"":7248},{""page_index"":3,""viewing_time"":4623}]","",""
"66676","","html-slider-response","4","311332","0.0-4.0","qtkdvdxl7t1vdfaypbge","male","journey","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_male_journey.png"" class=""main-trial""/>","","trial","","30",""
"258427","","survey-text","5","569762","0.0-5.0","qtkdvdxl7t1vdfaypbge","male","journey","","","description","","","{""Q0"":""A friend who underwent a complicated thyroid surgery and later was diagnosed with stage II Lymphoma.who needs help in raising the funds needed for the many expenses that will come along during the lengthy road ahead ""}"
"7646","","survey-likert","6","577410","0.0-6.0-0.0","qtkdvdxl7t1vdfaypbge","male","journey","","","sympathy","","","{""Q0"":6}"
"34780","","survey-likert","7","612193","0.0-6.0-1.0","qtkdvdxl7t1vdfaypbge","male","journey","","","urgent","","","{""Q0"":6}"
"9582","","survey-text","8","621777","0.0-7.0","qtkdvdxl7t1vdfaypbge","male","journey","","","past-donations","","","{""Q0"":""5""}"
"6853","","survey-multi-choice","9","628633","0.0-8.0-0.0","qtkdvdxl7t1vdfaypbge","male","journey","","","ff-cancer","","","{""Q0"":""No""}"
"25956","","survey-multi-choice","10","654593","0.0-8.0-1.0","qtkdvdxl7t1vdfaypbge","male","journey","","","self-cancer","","","{""Q0"":""No""}"
"56349","","survey-multi-choice","11","710954","0.0-9.0","qtkdvdxl7t1vdfaypbge","male","journey","","","demographics","","","{""Q0"":""Female"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$50,000 through $74,999"",""Q3"":""Yes""}"
"21964","","survey-text","12","732920","0.0-10.0","qtkdvdxl7t1vdfaypbge","male","journey","","","age","","","{""Q0"":""28""}"
"3430","","survey-text","13","736351","0.0-11.0","qtkdvdxl7t1vdfaypbge","male","journey","","","purpose","","","{""Q0"":""""}"
"2416","","survey-text","14","738768","0.0-12.0","qtkdvdxl7t1vdfaypbge","male","journey","","","feedback","","","{""Q0"":""""}"
"20848","debrief.html","external-html","15","762114","0.0-13.0","qtkdvdxl7t1vdfaypbge","male","journey","","","","","",""
