"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"17260","consent.html","external-html","0","17786","0.0-0.0","u0uzk4alr5jvtmtqt2tq","male","journey","","","","","",""
"3312","","image-button-response","1","21110","0.0-1.0","u0uzk4alr5jvtmtqt2tq","male","journey","check-1.png","1","check1","","",""
"5600","","image-button-response","2","26717","0.0-2.0","u0uzk4alr5jvtmtqt2tq","male","journey","check-2.png","2","check2","","",""
"53746","","instructions","3","80466","0.0-3.0","u0uzk4alr5jvtmtqt2tq","male","journey","","","","[{""page_index"":0,""viewing_time"":8722},{""page_index"":1,""viewing_time"":28951},{""page_index"":2,""viewing_time"":12574},{""page_index"":3,""viewing_time"":3496}]","",""
"152296","","html-slider-response","4","232771","0.0-4.0","u0uzk4alr5jvtmtqt2tq","male","journey","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_mj.png"" class=""main-trial""/>","","trial","","20",""
"156257","","survey-text","5","389035","0.0-5.0","u0uzk4alr5jvtmtqt2tq","male","journey","","","description","","","{""Q0"":""Jason is passing through a rough period in his life which involves chemotherapy treatment of lymphoma. He needs financial assistance to help him pay the bills for the next 2-3 months.""}"
"11325","","survey-likert","6","400370","0.0-6.0-0.0","u0uzk4alr5jvtmtqt2tq","male","journey","","","sympathy","","","{""Q0"":6}"
"37485","","survey-likert","7","437863","0.0-6.0-1.0","u0uzk4alr5jvtmtqt2tq","male","journey","","","urgent","","","{""Q0"":6}"
"6899","","survey-text","8","444769","0.0-7.0","u0uzk4alr5jvtmtqt2tq","male","journey","","","past-donations","","","{""Q0"":""2""}"
"21670","","survey-multi-choice","9","466450","0.0-8.0-0.0","u0uzk4alr5jvtmtqt2tq","male","journey","","","ff-cancer","","","{""Q0"":""No""}"
"2765","","survey-multi-choice","10","469230","0.0-8.0-1.0","u0uzk4alr5jvtmtqt2tq","male","journey","","","self-cancer","","","{""Q0"":""No""}"
"12358","","survey-multi-choice","11","481639","0.0-9.0","u0uzk4alr5jvtmtqt2tq","male","journey","","","demographics","","","{""Q0"":""Male"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$50,000 through $74,999"",""Q3"":""Yes""}"
"4631","","survey-text","12","486276","0.0-10.0","u0uzk4alr5jvtmtqt2tq","male","journey","","","age","","","{""Q0"":""49""}"
"6423","","survey-text","13","492702","0.0-11.0","u0uzk4alr5jvtmtqt2tq","male","journey","","","purpose","","","{""Q0"":""""}"
"7443","","survey-text","14","500150","0.0-12.0","u0uzk4alr5jvtmtqt2tq","male","journey","","","feedback","","","{""Q0"":""""}"
"14460","debrief.html","external-html","15","516723","0.0-13.0","u0uzk4alr5jvtmtqt2tq","male","journey","","","","","",""
