"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"25879","consent.html","external-html","0","25916","0.0-0.0","v2jczfzsr82uks0kgq24","male","literal","","","","","",""
"5065","","image-button-response","1","30983","0.0-1.0","v2jczfzsr82uks0kgq24","male","literal","check-1.png","1","check1","","",""
"7795","","image-button-response","2","38778","0.0-2.0","v2jczfzsr82uks0kgq24","male","literal","check-2.png","2","check2","","",""
"64868","","instructions","3","103647","0.0-3.0","v2jczfzsr82uks0kgq24","male","literal","","","","[{""page_index"":0,""viewing_time"":13975},{""page_index"":1,""viewing_time"":36143},{""page_index"":2,""viewing_time"":13060},{""page_index"":3,""viewing_time"":1690}]","",""
"34207","","html-slider-response","4","137856","0.0-4.0","v2jczfzsr82uks0kgq24","male","literal","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_ml.png"" class=""main-trial""/>","","trial","","0",""
"59348","","survey-text","5","197206","0.0-5.0","v2jczfzsr82uks0kgq24","male","literal","","","description","","","{""Q0"":""Jason's situation is comparable to what I had gone through. It's terrible not having the funds to receive proper treatment""}"
"11699","","survey-likert","6","208910","0.0-6.0-0.0","v2jczfzsr82uks0kgq24","male","literal","","","sympathy","","","{""Q0"":5}"
"4562","","survey-likert","7","213473","0.0-6.0-1.0","v2jczfzsr82uks0kgq24","male","literal","","","urgent","","","{""Q0"":6}"
"8593","","survey-text","8","222067","0.0-7.0","v2jczfzsr82uks0kgq24","male","literal","","","past-donations","","","{""Q0"":""6""}"
"7676","","survey-multi-choice","9","229746","0.0-8.0-0.0","v2jczfzsr82uks0kgq24","male","literal","","","ff-cancer","","","{""Q0"":""No""}"
"2980","","survey-multi-choice","10","232727","0.0-8.0-1.0","v2jczfzsr82uks0kgq24","male","literal","","","self-cancer","","","{""Q0"":""No""}"
"12166","","survey-multi-choice","11","244897","0.0-9.0","v2jczfzsr82uks0kgq24","male","literal","","","demographics","","","{""Q0"":""Male"",""Q1"":""High school degree or equivalent (e.g. GED)"",""Q2"":""$25,000 through $49,999"",""Q3"":""Yes""}"
"4771","","survey-text","12","249669","0.0-10.0","v2jczfzsr82uks0kgq24","male","literal","","","age","","","{""Q0"":""24""}"
"58664","","survey-text","13","308333","0.0-11.0","v2jczfzsr82uks0kgq24","male","literal","","","purpose","","","{""Q0"":""My guess is evaluating the chances of people from different backgrounds donating to a cause.""}"
"10452","","survey-text","14","318785","0.0-12.0","v2jczfzsr82uks0kgq24","male","literal","","","feedback","","","{""Q0"":""None.""}"
"13842","debrief.html","external-html","15","332728","0.0-13.0","v2jczfzsr82uks0kgq24","male","literal","","","","","",""
