"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"21106","consent.html","external-html","0","21223","0.0-0.0","xwawgc9afa8hcwpws1at","male","journey","","","","","",""
"3037","","image-button-response","1","24271","0.0-1.0","xwawgc9afa8hcwpws1at","male","journey","check-1.png","1","check1","","",""
"4023","","image-button-response","2","28300","0.0-2.0","xwawgc9afa8hcwpws1at","male","journey","check-2.png","2","check2","","",""
"39791","","instructions","3","68093","0.0-3.0","xwawgc9afa8hcwpws1at","male","journey","","","","[{""page_index"":0,""viewing_time"":7682},{""page_index"":1,""viewing_time"":20417},{""page_index"":2,""viewing_time"":10339},{""page_index"":3,""viewing_time"":1350}]","",""
"73064","","html-slider-response","4","141166","0.0-4.0","xwawgc9afa8hcwpws1at","male","journey","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_mj.png"" class=""main-trial""/>","","trial","","5",""
"60004","","survey-text","5","201176","0.0-5.0","xwawgc9afa8hcwpws1at","male","journey","","","description","","","{""Q0"":""Jason has been diagnosed with cancer and is going through a tough road of treatments. He has a lot of optimism in his ability to get through his treatments. He has already received some treatment.""}"
"9731","","survey-likert","6","210918","0.0-6.0-0.0","xwawgc9afa8hcwpws1at","male","journey","","","urgent","","","{""Q0"":4}"
"5898","","survey-likert","7","216822","0.0-6.0-1.0","xwawgc9afa8hcwpws1at","male","journey","","","sympathy","","","{""Q0"":4}"
"11111","","survey-text","8","227937","0.0-7.0","xwawgc9afa8hcwpws1at","male","journey","","","past-donations","","","{""Q0"":""15""}"
"3299","","survey-multi-choice","9","231245","0.0-8.0-0.0","xwawgc9afa8hcwpws1at","male","journey","","","self-cancer","","","{""Q0"":""No""}"
"4599","","survey-multi-choice","10","235852","0.0-8.0-1.0","xwawgc9afa8hcwpws1at","male","journey","","","ff-cancer","","","{""Q0"":""Yes""}"
"17315","","survey-multi-choice","11","253197","0.0-9.0","xwawgc9afa8hcwpws1at","male","journey","","","demographics","","","{""Q0"":""Male"",""Q1"":""Master’s degree (e.g. MA, MS, MEd)"",""Q2"":""More than $150,000"",""Q3"":""Yes""}"
"5593","","survey-text","12","258795","0.0-10.0","xwawgc9afa8hcwpws1at","male","journey","","","age","","","{""Q0"":""32""}"
"6314","","survey-text","13","265112","0.0-11.0","xwawgc9afa8hcwpws1at","male","journey","","","purpose","","","{""Q0"":""""}"
"3018","","survey-text","14","268133","0.0-12.0","xwawgc9afa8hcwpws1at","male","journey","","","feedback","","","{""Q0"":""""}"
"58477","debrief.html","external-html","15","326826","0.0-13.0","xwawgc9afa8hcwpws1at","male","journey","","","","","",""
