"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"40334","consent.html","external-html","0","40621","0.0-0.0","12pmbausv1x921v8mf4c","male","battle","","","","","",""
"3671","","image-button-response","1","44295","0.0-1.0","12pmbausv1x921v8mf4c","male","battle","check-1.png","1","check1","","",""
"3227","","image-button-response","2","47525","0.0-2.0","12pmbausv1x921v8mf4c","male","battle","check-2.png","2","check2","","",""
"41261","","instructions","3","88787","0.0-3.0","12pmbausv1x921v8mf4c","male","battle","","","","[{""page_index"":0,""viewing_time"":10749},{""page_index"":1,""viewing_time"":20175},{""page_index"":2,""viewing_time"":8731},{""page_index"":3,""viewing_time"":1604}]","",""
"18175","","html-slider-response","4","106967","0.0-4.0","12pmbausv1x921v8mf4c","male","battle","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_mb.png"" class=""main-trial""/>","","trial","","50",""
"25948","","survey-text","5","132919","0.0-5.0","12pmbausv1x921v8mf4c","male","battle","","","description","","","{""Q0"":""It's a very danger disease and i believe no one should get such disease""}"
"10073","","survey-likert","6","142994","0.0-6.0-0.0","12pmbausv1x921v8mf4c","male","battle","","","urgent","","","{""Q0"":5}"
"3714","","survey-likert","7","146709","0.0-6.0-1.0","12pmbausv1x921v8mf4c","male","battle","","","sympathy","","","{""Q0"":6}"
"6357","","survey-text","8","153067","0.0-7.0","12pmbausv1x921v8mf4c","male","battle","","","past-donations","","","{""Q0"":""3""}"
"2800","","survey-multi-choice","9","155870","0.0-8.0-0.0","12pmbausv1x921v8mf4c","male","battle","","","self-cancer","","","{""Q0"":""No""}"
"3138","","survey-multi-choice","10","159010","0.0-8.0-1.0","12pmbausv1x921v8mf4c","male","battle","","","ff-cancer","","","{""Q0"":""Yes""}"
"17718","","survey-multi-choice","11","176739","0.0-9.0","12pmbausv1x921v8mf4c","male","battle","","","demographics","","","{""Q0"":""Male"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$25,000 through $49,999"",""Q3"":""Yes""}"
"3530","","survey-text","12","180271","0.0-10.0","12pmbausv1x921v8mf4c","male","battle","","","age","","","{""Q0"":""36""}"
"3170","","survey-text","13","183441","0.0-11.0","12pmbausv1x921v8mf4c","male","battle","","","purpose","","","{""Q0"":""""}"
"2434","","survey-text","14","185877","0.0-12.0","12pmbausv1x921v8mf4c","male","battle","","","feedback","","","{""Q0"":""""}"
"10352","debrief.html","external-html","15","197069","0.0-13.0","12pmbausv1x921v8mf4c","male","battle","","","","","",""
