"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"8178","consent.html","external-html","0","8275","0.0-0.0","4m963ywxrfyt2avnp6fq","female","literal","","","","","",""
"3081","","image-button-response","1","11363","0.0-1.0","4m963ywxrfyt2avnp6fq","female","literal","check-1.png","1","check1","","",""
"3390","","image-button-response","2","14756","0.0-2.0","4m963ywxrfyt2avnp6fq","female","literal","check-2.png","2","check2","","",""
"30275","","instructions","3","45033","0.0-3.0","4m963ywxrfyt2avnp6fq","female","literal","","","","[{""page_index"":0,""viewing_time"":5992},{""page_index"":1,""viewing_time"":15275},{""page_index"":2,""viewing_time"":7850},{""page_index"":3,""viewing_time"":1156}]","",""
"74140","","html-slider-response","4","119178","0.0-4.0","4m963ywxrfyt2avnp6fq","female","literal","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_fl.png"" class=""main-trial""/>","","trial","","30",""
"34981","","survey-text","5","154160","0.0-5.0","4m963ywxrfyt2avnp6fq","female","literal","","","description","","","{""Q0"":""Jennifer has cancer and is strong enough to endure. However, she could still use the financial assistance to help her pay for the treatment she needs. ""}"
"8542","","survey-likert","6","162706","0.0-6.0-0.0","4m963ywxrfyt2avnp6fq","female","literal","","","urgent","","","{""Q0"":5}"
"3745","","survey-likert","7","166458","0.0-6.0-1.0","4m963ywxrfyt2avnp6fq","female","literal","","","sympathy","","","{""Q0"":5}"
"7050","","survey-text","8","173514","0.0-7.0","4m963ywxrfyt2avnp6fq","female","literal","","","past-donations","","","{""Q0"":""0""}"
"9137","","survey-multi-choice","9","182655","0.0-8.0-0.0","4m963ywxrfyt2avnp6fq","female","literal","","","ff-cancer","","","{""Q0"":""Yes""}"
"10089","","survey-multi-choice","10","192755","0.0-8.0-1.0","4m963ywxrfyt2avnp6fq","female","literal","","","self-cancer","","","{""Q0"":""No""}"
"23220","","survey-multi-choice","11","215989","0.0-9.0","4m963ywxrfyt2avnp6fq","female","literal","","","demographics","","","{""Q0"":""Male"",""Q1"":""High school degree or equivalent (e.g. GED)"",""Q2"":""Less than $10,000"",""Q3"":""Yes""}"
"3872","","survey-text","12","219869","0.0-10.0","4m963ywxrfyt2avnp6fq","female","literal","","","age","","","{""Q0"":""30""}"
"31086","","survey-text","13","250957","0.0-11.0","4m963ywxrfyt2avnp6fq","female","literal","","","purpose","","","{""Q0"":""How charitable people can be when they know they benefit from donating less. ""}"
"3618","","survey-text","14","254578","0.0-12.0","4m963ywxrfyt2avnp6fq","female","literal","","","feedback","","","{""Q0"":""""}"
"23143","debrief.html","external-html","15","278004","0.0-13.0","4m963ywxrfyt2avnp6fq","female","literal","","","","","",""
