"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"2842","consent.html","external-html","0","2945","0.0-0.0","7s4e5roomk2w24yc2auo","female","battle","","","","","",""
"1535","","image-button-response","1","4482","0.0-1.0","7s4e5roomk2w24yc2auo","female","battle","check-1.png","1","check1","","",""
"3566","","image-button-response","2","8049","0.0-2.0","7s4e5roomk2w24yc2auo","female","battle","check-2.png","2","check2","","",""
"5543","","instructions","3","13593","0.0-3.0","7s4e5roomk2w24yc2auo","female","battle","","","","[{""page_index"":0,""viewing_time"":1445},{""page_index"":1,""viewing_time"":1305},{""page_index"":2,""viewing_time"":2009},{""page_index"":3,""viewing_time"":783}]","",""
"14176","","html-slider-response","4","27771","0.0-4.0","7s4e5roomk2w24yc2auo","female","battle","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_fb.png"" class=""main-trial""/>","","trial","","10",""
"34810","","survey-text","5","62582","0.0-5.0","7s4e5roomk2w24yc2auo","female","battle","","","description","","","{""Q0"":""A tough battle with Lymphoma and it is causing many expenses.""}"
"1487","","survey-likert","6","64070","0.0-6.0-0.0","7s4e5roomk2w24yc2auo","female","battle","","","urgent","","","{""Q0"":3}"
"1649","","survey-likert","7","65721","0.0-6.0-1.0","7s4e5roomk2w24yc2auo","female","battle","","","sympathy","","","{""Q0"":4}"
"2038","","survey-text","8","67760","0.0-7.0","7s4e5roomk2w24yc2auo","female","battle","","","past-donations","","","{""Q0"":""2""}"
"1489","","survey-multi-choice","9","69250","0.0-8.0-0.0","7s4e5roomk2w24yc2auo","female","battle","","","self-cancer","","","{""Q0"":""No""}"
"2220","","survey-multi-choice","10","71472","0.0-8.0-1.0","7s4e5roomk2w24yc2auo","female","battle","","","ff-cancer","","","{""Q0"":""No""}"
"5443","","survey-multi-choice","11","76921","0.0-9.0","7s4e5roomk2w24yc2auo","female","battle","","","demographics","","","{""Q0"":""Male"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$100,000 through $149,999"",""Q3"":""Yes""}"
"1320","","survey-text","12","78242","0.0-10.0","7s4e5roomk2w24yc2auo","female","battle","","","age","","","{""Q0"":""25""}"
"1130","","survey-text","13","79372","0.0-11.0","7s4e5roomk2w24yc2auo","female","battle","","","purpose","","","{""Q0"":""""}"
"794","","survey-text","14","80168","0.0-12.0","7s4e5roomk2w24yc2auo","female","battle","","","feedback","","","{""Q0"":""""}"
"1982","debrief.html","external-html","15","82455","0.0-13.0","7s4e5roomk2w24yc2auo","female","battle","","","","","",""
