"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"30317","consent.html","external-html","0","30494","0.0-0.0","br6k6v0t1nnylckdp92c","female","literal","","","","","",""
"2449","","image-button-response","1","32947","0.0-1.0","br6k6v0t1nnylckdp92c","female","literal","check-1.png","1","check1","","",""
"4165","","image-button-response","2","37114","0.0-2.0","br6k6v0t1nnylckdp92c","female","literal","check-2.png","2","check2","","",""
"43791","","instructions","3","80906","0.0-3.0","br6k6v0t1nnylckdp92c","female","literal","","","","[{""page_index"":0,""viewing_time"":8295},{""page_index"":1,""viewing_time"":21536},{""page_index"":2,""viewing_time"":11607},{""page_index"":3,""viewing_time"":2352}]","",""
"29538","","html-slider-response","4","110449","0.0-4.0","br6k6v0t1nnylckdp92c","female","literal","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_fl.png"" class=""main-trial""/>","","trial","","15",""
"113773","","survey-text","5","224223","0.0-5.0","br6k6v0t1nnylckdp92c","female","literal","","","description","","","{""Q0"":""she is suffering from a form of cancer and has a very challenging set of chemotherapy treatments ahead of her""}"
"6625","","survey-likert","6","230852","0.0-6.0-0.0","br6k6v0t1nnylckdp92c","female","literal","","","urgent","","","{""Q0"":4}"
"5500","","survey-likert","7","236354","0.0-6.0-1.0","br6k6v0t1nnylckdp92c","female","literal","","","sympathy","","","{""Q0"":5}"
"6671","","survey-text","8","243027","0.0-7.0","br6k6v0t1nnylckdp92c","female","literal","","","past-donations","","","{""Q0"":""10""}"
"3690","","survey-multi-choice","9","246720","0.0-8.0-0.0","br6k6v0t1nnylckdp92c","female","literal","","","ff-cancer","","","{""Q0"":""Yes""}"
"4590","","survey-multi-choice","10","251313","0.0-8.0-1.0","br6k6v0t1nnylckdp92c","female","literal","","","self-cancer","","","{""Q0"":""No""}"
"20897","","survey-multi-choice","11","272217","0.0-9.0","br6k6v0t1nnylckdp92c","female","literal","","","demographics","","","{""Q0"":""Male"",""Q1"":""Master’s degree (e.g. MA, MS, MEd)"",""Q2"":""$50,000 through $74,999"",""Q3"":""Yes""}"
"5263","","survey-text","12","277481","0.0-10.0","br6k6v0t1nnylckdp92c","female","literal","","","age","","","{""Q0"":""44""}"
"5732","","survey-text","13","283215","0.0-11.0","br6k6v0t1nnylckdp92c","female","literal","","","purpose","","","{""Q0"":""""}"
"3583","","survey-text","14","286798","0.0-12.0","br6k6v0t1nnylckdp92c","female","literal","","","feedback","","","{""Q0"":""""}"
"13732","debrief.html","external-html","15","301297","0.0-13.0","br6k6v0t1nnylckdp92c","female","literal","","","","","",""
