"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"9301","consent.html","external-html","0","9374","0.0-0.0","clp802ta4rp9jahtrhgk","female","battle","","","","","",""
"1981","","image-button-response","1","11358","0.0-1.0","clp802ta4rp9jahtrhgk","female","battle","check-1.png","1","check1","","",""
"3378","","image-button-response","2","14737","0.0-2.0","clp802ta4rp9jahtrhgk","female","battle","check-2.png","2","check2","","",""
"33576","","instructions","3","48314","0.0-3.0","clp802ta4rp9jahtrhgk","female","battle","","","","[{""page_index"":0,""viewing_time"":5623},{""page_index"":1,""viewing_time"":17704},{""page_index"":2,""viewing_time"":8364},{""page_index"":3,""viewing_time"":1884}]","",""
"20355","","html-slider-response","4","68672","0.0-4.0","clp802ta4rp9jahtrhgk","female","battle","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_fb.png"" class=""main-trial""/>","","trial","","30",""
"69437","","survey-text","5","138110","0.0-5.0","clp802ta4rp9jahtrhgk","female","battle","","","description","","","{""Q0"":""Jennifer was diagnosed with cancer after having a thyroid surgery. She would really benefit from our financial assistance for her future medical bills associated with her diagnosis.""}"
"5147","","survey-likert","6","143259","0.0-6.0-0.0","clp802ta4rp9jahtrhgk","female","battle","","","urgent","","","{""Q0"":4}"
"3346","","survey-likert","7","146607","0.0-6.0-1.0","clp802ta4rp9jahtrhgk","female","battle","","","sympathy","","","{""Q0"":5}"
"5169","","survey-text","8","151778","0.0-7.0","clp802ta4rp9jahtrhgk","female","battle","","","past-donations","","","{""Q0"":""0""}"
"3250","","survey-multi-choice","9","155031","0.0-8.0-0.0","clp802ta4rp9jahtrhgk","female","battle","","","ff-cancer","","","{""Q0"":""Yes""}"
"1953","","survey-multi-choice","10","156987","0.0-8.0-1.0","clp802ta4rp9jahtrhgk","female","battle","","","self-cancer","","","{""Q0"":""No""}"
"13072","","survey-multi-choice","11","170067","0.0-9.0","clp802ta4rp9jahtrhgk","female","battle","","","demographics","","","{""Q0"":""Male"",""Q1"":""Master’s degree (e.g. MA, MS, MEd)"",""Q2"":""$25,000 through $49,999"",""Q3"":""Yes""}"
"3370","","survey-text","12","173438","0.0-10.0","clp802ta4rp9jahtrhgk","female","battle","","","age","","","{""Q0"":""27""}"
"2035","","survey-text","13","175474","0.0-11.0","clp802ta4rp9jahtrhgk","female","battle","","","purpose","","","{""Q0"":""""}"
"1795","","survey-text","14","177270","0.0-12.0","clp802ta4rp9jahtrhgk","female","battle","","","feedback","","","{""Q0"":""""}"
"23287","debrief.html","external-html","15","200862","0.0-13.0","clp802ta4rp9jahtrhgk","female","battle","","","","","",""
