"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"25291","consent.html","external-html","0","25714","0.0-0.0","fe66auugzu08yyxdxaa8","male","battle","","","","","",""
"4146","","image-button-response","1","29867","0.0-1.0","fe66auugzu08yyxdxaa8","male","battle","check-1.png","1","check1","","",""
"7329","","image-button-response","2","37198","0.0-2.0","fe66auugzu08yyxdxaa8","male","battle","check-2.png","2","check2","","",""
"52776","","instructions","3","89983","0.0-3.0","fe66auugzu08yyxdxaa8","male","battle","","","","[{""page_index"":0,""viewing_time"":9451},{""page_index"":1,""viewing_time"":32136},{""page_index"":2,""viewing_time"":9119},{""page_index"":3,""viewing_time"":2062}]","",""
"30575","","html-slider-response","4","120598","0.0-4.0","fe66auugzu08yyxdxaa8","male","battle","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_mb.png"" class=""main-trial""/>","","trial","","35",""
"74915","","survey-text","5","195521","0.0-5.0","fe66auugzu08yyxdxaa8","male","battle","","","description","","","{""Q0"":""he is get a critical situation he needs a treatment of medical requirements.""}"
"5883","","survey-likert","6","201410","0.0-6.0-0.0","fe66auugzu08yyxdxaa8","male","battle","","","sympathy","","","{""Q0"":3}"
"5747","","survey-likert","7","207163","0.0-6.0-1.0","fe66auugzu08yyxdxaa8","male","battle","","","urgent","","","{""Q0"":5}"
"5784","","survey-text","8","212951","0.0-7.0","fe66auugzu08yyxdxaa8","male","battle","","","past-donations","","","{""Q0"":""2""}"
"4622","","survey-multi-choice","9","217582","0.0-8.0-0.0","fe66auugzu08yyxdxaa8","male","battle","","","self-cancer","","","{""Q0"":""No""}"
"7664","","survey-multi-choice","10","225274","0.0-8.0-1.0","fe66auugzu08yyxdxaa8","male","battle","","","ff-cancer","","","{""Q0"":""Yes""}"
"16349","","survey-multi-choice","11","241644","0.0-9.0","fe66auugzu08yyxdxaa8","male","battle","","","demographics","","","{""Q0"":""Female"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$10,000 through $24,999"",""Q3"":""Yes""}"
"7316","","survey-text","12","248966","0.0-10.0","fe66auugzu08yyxdxaa8","male","battle","","","age","","","{""Q0"":""32""}"
"4272","","survey-text","13","253241","0.0-11.0","fe66auugzu08yyxdxaa8","male","battle","","","purpose","","","{""Q0"":""""}"
"12195","","survey-text","14","265439","0.0-12.0","fe66auugzu08yyxdxaa8","male","battle","","","feedback","","","{""Q0"":""good task""}"
"10639","debrief.html","external-html","15","276652","0.0-13.0","fe66auugzu08yyxdxaa8","male","battle","","","","","",""
