"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"25165","consent.html","external-html","0","25266","0.0-0.0","k39fob1pf3tld58agl12","female","battle","","","","","",""
"1780","","image-button-response","1","27050","0.0-1.0","k39fob1pf3tld58agl12","female","battle","check-1.png","1","check1","","",""
"2165","","image-button-response","2","29217","0.0-2.0","k39fob1pf3tld58agl12","female","battle","check-2.png","2","check2","","",""
"10926","","instructions","3","40143","0.0-3.0","k39fob1pf3tld58agl12","female","battle","","","","[{""page_index"":0,""viewing_time"":2493},{""page_index"":1,""viewing_time"":5045},{""page_index"":2,""viewing_time"":2449},{""page_index"":3,""viewing_time"":938}]","",""
"85264","","html-slider-response","4","125409","0.0-4.0","k39fob1pf3tld58agl12","female","battle","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_female_battle.png"" class=""main-trial""/>","","trial","","5",""
"14028","","survey-text","5","139440","0.0-5.0","k39fob1pf3tld58agl12","female","battle","","","description","","","{""Q0"":""This is a woman who is battling cancer.""}"
"3924","","survey-likert","6","143366","0.0-6.0-0.0","k39fob1pf3tld58agl12","female","battle","","","urgent","","","{""Q0"":4}"
"3162","","survey-likert","7","146530","0.0-6.0-1.0","k39fob1pf3tld58agl12","female","battle","","","sympathy","","","{""Q0"":6}"
"2338","","survey-text","8","148870","0.0-7.0","k39fob1pf3tld58agl12","female","battle","","","past-donations","","","{""Q0"":""1""}"
"2545","","survey-multi-choice","9","151417","0.0-8.0-0.0","k39fob1pf3tld58agl12","female","battle","","","ff-cancer","","","{""Q0"":""No""}"
"1857","","survey-multi-choice","10","153278","0.0-8.0-1.0","k39fob1pf3tld58agl12","female","battle","","","self-cancer","","","{""Q0"":""No""}"
"6945","","survey-multi-choice","11","160232","0.0-9.0","k39fob1pf3tld58agl12","female","battle","","","demographics","","","{""Q0"":""Female"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$100,000 through $149,999"",""Q3"":""Yes""}"
"2674","","survey-text","12","162907","0.0-10.0","k39fob1pf3tld58agl12","female","battle","","","age","","","{""Q0"":""26""}"
"2338","","survey-text","13","165247","0.0-11.0","k39fob1pf3tld58agl12","female","battle","","","purpose","","","{""Q0"":""""}"
"1229","","survey-text","14","166477","0.0-12.0","k39fob1pf3tld58agl12","female","battle","","","feedback","","","{""Q0"":""""}"
"22570","debrief.html","external-html","15","189285","0.0-13.0","k39fob1pf3tld58agl12","female","battle","","","","","",""
