"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"2089","consent.html","external-html","0","2178","0.0-0.0","lu3zr0w1x7skgx2z9ntx","male","battle","","","","","",""
"1631","","image-button-response","1","3810","0.0-1.0","lu3zr0w1x7skgx2z9ntx","male","battle","check-1.png","1","check1","","",""
"2171","","image-button-response","2","5982","0.0-2.0","lu3zr0w1x7skgx2z9ntx","male","battle","check-2.png","2","check2","","",""
"13286","","instructions","3","19269","0.0-3.0","lu3zr0w1x7skgx2z9ntx","male","battle","","","","[{""page_index"":0,""viewing_time"":1665},{""page_index"":1,""viewing_time"":6734},{""page_index"":2,""viewing_time"":4036},{""page_index"":3,""viewing_time"":850}]","",""
"6052","","html-slider-response","4","25322","0.0-4.0","lu3zr0w1x7skgx2z9ntx","male","battle","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_mb.png"" class=""main-trial""/>","","trial","","0",""
"135971","","survey-text","5","161293","0.0-5.0","lu3zr0w1x7skgx2z9ntx","male","battle","","","description","","","{""Q0"":""Jason and his close friends/relatives are starting a fundraiser to fund Jason's Stage 2 Lymphoma. There is no indication of urgency when it comes to Jason's disease, just the people around him creating a public fund to help Jason pay for his treatment""}"
"5497","","survey-likert","6","166791","0.0-6.0-0.0","lu3zr0w1x7skgx2z9ntx","male","battle","","","urgent","","","{""Q0"":2}"
"3306","","survey-likert","7","170099","0.0-6.0-1.0","lu3zr0w1x7skgx2z9ntx","male","battle","","","sympathy","","","{""Q0"":1}"
"2293","","survey-text","8","172392","0.0-7.0","lu3zr0w1x7skgx2z9ntx","male","battle","","","past-donations","","","{""Q0"":""0""}"
"1645","","survey-multi-choice","9","174040","0.0-8.0-0.0","lu3zr0w1x7skgx2z9ntx","male","battle","","","self-cancer","","","{""Q0"":""No""}"
"2359","","survey-multi-choice","10","176400","0.0-8.0-1.0","lu3zr0w1x7skgx2z9ntx","male","battle","","","ff-cancer","","","{""Q0"":""No""}"
"7095","","survey-multi-choice","11","183500","0.0-9.0","lu3zr0w1x7skgx2z9ntx","male","battle","","","demographics","","","{""Q0"":""Male"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""Less than $10,000"",""Q3"":""Yes""}"
"2502","","survey-text","12","186003","0.0-10.0","lu3zr0w1x7skgx2z9ntx","male","battle","","","age","","","{""Q0"":""23""}"
"1611","","survey-text","13","187615","0.0-11.0","lu3zr0w1x7skgx2z9ntx","male","battle","","","purpose","","","{""Q0"":""""}"
"1045","","survey-text","14","188661","0.0-12.0","lu3zr0w1x7skgx2z9ntx","male","battle","","","feedback","","","{""Q0"":""""}"
"1483","debrief.html","external-html","15","190406","0.0-13.0","lu3zr0w1x7skgx2z9ntx","male","battle","","","","","",""
