"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"6237","consent.html","external-html","0","6345","0.0-0.0","ny46pocay7g7g1agaent","female","literal","","","","","",""
"1667","","image-button-response","1","8014","0.0-1.0","ny46pocay7g7g1agaent","female","literal","check-1.png","1","check1","","",""
"2988","","image-button-response","2","11003","0.0-2.0","ny46pocay7g7g1agaent","female","literal","check-2.png","2","check2","","",""
"11041","","instructions","3","22045","0.0-3.0","ny46pocay7g7g1agaent","female","literal","","","","[{""page_index"":0,""viewing_time"":3142},{""page_index"":1,""viewing_time"":4526},{""page_index"":2,""viewing_time"":2505},{""page_index"":3,""viewing_time"":867}]","",""
"15661","","html-slider-response","4","37707","0.0-4.0","ny46pocay7g7g1agaent","female","literal","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_fl.png"" class=""main-trial""/>","","trial","","0",""
"26169","","survey-text","5","63878","0.0-5.0","ny46pocay7g7g1agaent","female","literal","","","description","","","{""Q0"":""Jennifer has lymphoma and is need of money to help her with surgery and medical costs. She has a campaign set up to help raise money for her cause.""}"
"4064","","survey-likert","6","67944","0.0-6.0-0.0","ny46pocay7g7g1agaent","female","literal","","","urgent","","","{""Q0"":4}"
"2807","","survey-likert","7","70752","0.0-6.0-1.0","ny46pocay7g7g1agaent","female","literal","","","sympathy","","","{""Q0"":5}"
"2657","","survey-text","8","73412","0.0-7.0","ny46pocay7g7g1agaent","female","literal","","","past-donations","","","{""Q0"":""1""}"
"2790","","survey-multi-choice","9","76204","0.0-8.0-0.0","ny46pocay7g7g1agaent","female","literal","","","ff-cancer","","","{""Q0"":""No""}"
"2233","","survey-multi-choice","10","78439","0.0-8.0-1.0","ny46pocay7g7g1agaent","female","literal","","","self-cancer","","","{""Q0"":""No""}"
"8455","","survey-multi-choice","11","86901","0.0-9.0","ny46pocay7g7g1agaent","female","literal","","","demographics","","","{""Q0"":""Female"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$100,000 through $149,999"",""Q3"":""Yes""}"
"2683","","survey-text","12","89585","0.0-10.0","ny46pocay7g7g1agaent","female","literal","","","age","","","{""Q0"":""23""}"
"12301","","survey-text","13","101887","0.0-11.0","ny46pocay7g7g1agaent","female","literal","","","purpose","","","{""Q0"":""How generous people are based on a passage about someone who is in need?""}"
"28794","","survey-text","14","130682","0.0-12.0","ny46pocay7g7g1agaent","female","literal","","","feedback","","","{""Q0"":""Thank you. I hope my responses will be useful to your research. I didn't select to donate anything because I need the money myself, even though I do feel bad for Jennifer.""}"
"3422","debrief.html","external-html","15","134413","0.0-13.0","ny46pocay7g7g1agaent","female","literal","","","","","",""
