"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"31577","consent.html","external-html","0","31680","0.0-0.0","pr4m4qbuwrhwdljdr42n","female","literal","","","","","",""
"3136","","image-button-response","1","34820","0.0-1.0","pr4m4qbuwrhwdljdr42n","female","literal","check-1.png","1","check1","","",""
"4294","","image-button-response","2","39116","0.0-2.0","pr4m4qbuwrhwdljdr42n","female","literal","check-2.png","2","check2","","",""
"40599","","instructions","3","79716","0.0-3.0","pr4m4qbuwrhwdljdr42n","female","literal","","","","[{""page_index"":0,""viewing_time"":5386},{""page_index"":1,""viewing_time"":26025},{""page_index"":2,""viewing_time"":7542},{""page_index"":3,""viewing_time"":1645}]","",""
"90390","","html-slider-response","4","170109","0.0-4.0","pr4m4qbuwrhwdljdr42n","female","literal","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_fl.png"" class=""main-trial""/>","","trial","","50",""
"81008","","survey-text","5","251119","0.0-5.0","pr4m4qbuwrhwdljdr42n","female","literal","","","description","","","{""Q0"":""Jennifer had a thyroid surgery, which resulted in her being diagnosed with stage 2 lymphoma.  as a result she is getting chemo and has medical expenses pilling up.""}"
"6332","","survey-likert","6","257455","0.0-6.0-0.0","pr4m4qbuwrhwdljdr42n","female","literal","","","urgent","","","{""Q0"":5}"
"6724","","survey-likert","7","264186","0.0-6.0-1.0","pr4m4qbuwrhwdljdr42n","female","literal","","","sympathy","","","{""Q0"":6}"
"17045","","survey-text","8","281238","0.0-7.0","pr4m4qbuwrhwdljdr42n","female","literal","","","past-donations","","","{""Q0"":""15 roughly""}"
"5292","","survey-multi-choice","9","286533","0.0-8.0-0.0","pr4m4qbuwrhwdljdr42n","female","literal","","","ff-cancer","","","{""Q0"":""Yes""}"
"3360","","survey-multi-choice","10","289903","0.0-8.0-1.0","pr4m4qbuwrhwdljdr42n","female","literal","","","self-cancer","","","{""Q0"":""No""}"
"24969","","survey-multi-choice","11","314884","0.0-9.0","pr4m4qbuwrhwdljdr42n","female","literal","","","demographics","","","{""Q0"":""Female"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$50,000 through $74,999"",""Q3"":""Yes""}"
"4934","","survey-text","12","319824","0.0-10.0","pr4m4qbuwrhwdljdr42n","female","literal","","","age","","","{""Q0"":""38""}"
"40059","","survey-text","13","359886","0.0-11.0","pr4m4qbuwrhwdljdr42n","female","literal","","","purpose","","","{""Q0"":""what people are willing to \""lose\"" to help another person?""}"
"3993","","survey-text","14","363880","0.0-12.0","pr4m4qbuwrhwdljdr42n","female","literal","","","feedback","","","{""Q0"":""""}"
"31336","debrief.html","external-html","15","395594","0.0-13.0","pr4m4qbuwrhwdljdr42n","female","literal","","","","","",""
