"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"15158","consent.html","external-html","0","15262","0.0-0.0","uo2qsu8k7y2etsay6rjy","male","battle","","","","","",""
"2812","","image-button-response","1","18078","0.0-1.0","uo2qsu8k7y2etsay6rjy","male","battle","check-1.png","1","check1","","",""
"3032","","image-button-response","2","21111","0.0-2.0","uo2qsu8k7y2etsay6rjy","male","battle","check-2.png","2","check2","","",""
"23304","","instructions","3","44416","0.0-3.0","uo2qsu8k7y2etsay6rjy","male","battle","","","","[{""page_index"":0,""viewing_time"":5639},{""page_index"":1,""viewing_time"":11614},{""page_index"":2,""viewing_time"":4920},{""page_index"":3,""viewing_time"":1130}]","",""
"39075","","html-slider-response","4","83493","0.0-4.0","uo2qsu8k7y2etsay6rjy","male","battle","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_mb.png"" class=""main-trial""/>","","trial","","40",""
"70323","","survey-text","5","153818","0.0-5.0","uo2qsu8k7y2etsay6rjy","male","battle","","","description","","","{""Q0"":""Jason is a man in need of chemotherapy treatment. His friend praises Jason's quality and to help him as set up a campaign to collect funds so support Jason""}"
"8561","","survey-likert","6","162381","0.0-6.0-0.0","uo2qsu8k7y2etsay6rjy","male","battle","","","urgent","","","{""Q0"":5}"
"5033","","survey-likert","7","167417","0.0-6.0-1.0","uo2qsu8k7y2etsay6rjy","male","battle","","","sympathy","","","{""Q0"":6}"
"8320","","survey-text","8","175739","0.0-7.0","uo2qsu8k7y2etsay6rjy","male","battle","","","past-donations","","","{""Q0"":""7""}"
"5286","","survey-multi-choice","9","181027","0.0-8.0-0.0","uo2qsu8k7y2etsay6rjy","male","battle","","","ff-cancer","","","{""Q0"":""No""}"
"2908","","survey-multi-choice","10","183937","0.0-8.0-1.0","uo2qsu8k7y2etsay6rjy","male","battle","","","self-cancer","","","{""Q0"":""No""}"
"10863","","survey-multi-choice","11","194809","0.0-9.0","uo2qsu8k7y2etsay6rjy","male","battle","","","demographics","","","{""Q0"":""Male"",""Q1"":""Master’s degree (e.g. MA, MS, MEd)"",""Q2"":""$50,000 through $74,999"",""Q3"":""No""}"
"4557","","survey-text","12","199369","0.0-10.0","uo2qsu8k7y2etsay6rjy","male","battle","","","age","","","{""Q0"":""31""}"
"2587","","survey-text","13","201958","0.0-11.0","uo2qsu8k7y2etsay6rjy","male","battle","","","purpose","","","{""Q0"":""""}"
"2189","","survey-text","14","204148","0.0-12.0","uo2qsu8k7y2etsay6rjy","male","battle","","","feedback","","","{""Q0"":""""}"
"3516","debrief.html","external-html","15","207985","0.0-13.0","uo2qsu8k7y2etsay6rjy","male","battle","","","","","",""
