"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"16480","consent.html","external-html","0","16643","0.0-0.0","yu3bab4xu5f4pv56yjmd","female","journey","","","","","",""
"1825","","image-button-response","1","18470","0.0-1.0","yu3bab4xu5f4pv56yjmd","female","journey","check-1.png","1","check1","","",""
"3040","","image-button-response","2","21512","0.0-2.0","yu3bab4xu5f4pv56yjmd","female","journey","check-2.png","2","check2","","",""
"43528","","instructions","3","65040","0.0-3.0","yu3bab4xu5f4pv56yjmd","female","journey","","","","[{""page_index"":0,""viewing_time"":8819},{""page_index"":1,""viewing_time"":29288},{""page_index"":2,""viewing_time"":4388},{""page_index"":3,""viewing_time"":1033}]","",""
"26262","","html-slider-response","4","91303","0.0-4.0","yu3bab4xu5f4pv56yjmd","female","journey","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_fj.png"" class=""main-trial""/>","","trial","","35",""
"59174","","survey-text","5","150478","0.0-5.0","yu3bab4xu5f4pv56yjmd","female","journey","","","description","","","{""Q0"":""She has been diagnosed with lymphoma and is beginning chemotherapy. She delt with some mild after-effects of her first round, but is trying to fight her way through treatment. ""}"
"7949","","survey-likert","6","158428","0.0-6.0-0.0","yu3bab4xu5f4pv56yjmd","female","journey","","","sympathy","","","{""Q0"":2}"
"3250","","survey-likert","7","161702","0.0-6.0-1.0","yu3bab4xu5f4pv56yjmd","female","journey","","","urgent","","","{""Q0"":5}"
"3007","","survey-text","8","164734","0.0-7.0","yu3bab4xu5f4pv56yjmd","female","journey","","","past-donations","","","{""Q0"":""0""}"
"2237","","survey-multi-choice","9","166972","0.0-8.0-0.0","yu3bab4xu5f4pv56yjmd","female","journey","","","self-cancer","","","{""Q0"":""No""}"
"2764","","survey-multi-choice","10","169761","0.0-8.0-1.0","yu3bab4xu5f4pv56yjmd","female","journey","","","ff-cancer","","","{""Q0"":""Yes""}"
"13269","","survey-multi-choice","11","183059","0.0-9.0","yu3bab4xu5f4pv56yjmd","female","journey","","","demographics","","","{""Q0"":""Female"",""Q1"":""High school degree or equivalent (e.g. GED)"",""Q2"":""$10,000 through $24,999"",""Q3"":""Yes""}"
"2823","","survey-text","12","185905","0.0-10.0","yu3bab4xu5f4pv56yjmd","female","journey","","","age","","","{""Q0"":""19""}"
"80129","","survey-text","13","266035","0.0-11.0","yu3bab4xu5f4pv56yjmd","female","journey","","","purpose","","","{""Q0"":""The morality of people when given the option of benefiting someone else or themselves when given a person who's situation could be dire than their own.""}"
"1598","","survey-text","14","267633","0.0-12.0","yu3bab4xu5f4pv56yjmd","female","journey","","","feedback","","","{""Q0"":""""}"
"6266","debrief.html","external-html","15","274173","0.0-13.0","yu3bab4xu5f4pv56yjmd","female","journey","","","","","",""
