"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"9954","consent.html","external-html","0","10019","0.0-0.0","z9clq1b2euhstgexoray","female","literal","","","","","",""
"2761","","image-button-response","1","12787","0.0-1.0","z9clq1b2euhstgexoray","female","literal","check-1.png","1","check1","","",""
"4116","","image-button-response","2","16911","0.0-2.0","z9clq1b2euhstgexoray","female","literal","check-2.png","2","check2","","",""
"31381","","instructions","3","48293","0.0-3.0","z9clq1b2euhstgexoray","female","literal","","","","[{""page_index"":0,""viewing_time"":5374},{""page_index"":1,""viewing_time"":16096},{""page_index"":2,""viewing_time"":8347},{""page_index"":3,""viewing_time"":1563}]","",""
"33830","","html-slider-response","4","82125","0.0-4.0","z9clq1b2euhstgexoray","female","literal","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_female_literal.png"" class=""main-trial""/>","","trial","","5",""
"137146","","survey-text","5","219272","0.0-5.0","z9clq1b2euhstgexoray","female","literal","","","description","","","{""Q0"":""Jennifer was diagnosed with Lymphoma a devastating diagnosis. Lymphoma is a type of cancer that involves chemo. Please consider donating to help Jennifer battle the illness. Keep Jennifer in your thoughts and prayers. ""}"
"7484","","survey-likert","6","226757","0.0-6.0-0.0","z9clq1b2euhstgexoray","female","literal","","","sympathy","","","{""Q0"":6}"
"3426","","survey-likert","7","230191","0.0-6.0-1.0","z9clq1b2euhstgexoray","female","literal","","","urgent","","","{""Q0"":6}"
"5891","","survey-text","8","236087","0.0-7.0","z9clq1b2euhstgexoray","female","literal","","","past-donations","","","{""Q0"":""1""}"
"10401","","survey-multi-choice","9","246489","0.0-8.0-0.0","z9clq1b2euhstgexoray","female","literal","","","ff-cancer","","","{""Q0"":""No""}"
"3197","","survey-multi-choice","10","249691","0.0-8.0-1.0","z9clq1b2euhstgexoray","female","literal","","","self-cancer","","","{""Q0"":""No""}"
"17617","","survey-multi-choice","11","267320","0.0-9.0","z9clq1b2euhstgexoray","female","literal","","","demographics","","","{""Q0"":""Male"",""Q1"":""High school degree or equivalent (e.g. GED)"",""Q2"":""$10,000 through $24,999"",""Q3"":""Yes""}"
"4302","","survey-text","12","271627","0.0-10.0","z9clq1b2euhstgexoray","female","literal","","","age","","","{""Q0"":""33""}"
"50622","","survey-text","13","322249","0.0-11.0","z9clq1b2euhstgexoray","female","literal","","","purpose","","","{""Q0"":""The amount of empathy we have for a woman who has cancer, and the amount we would like to donate to help her battle the illness. ""}"
"11071","","survey-text","14","333321","0.0-12.0","z9clq1b2euhstgexoray","female","literal","","","feedback","","","{""Q0"":""Excellent survey! Short and easy to understand with good quality questions. Please continue to post future study's, and please add me to any potential follow up's. Thanks!""}"
"7563","debrief.html","external-html","15","341158","0.0-13.0","z9clq1b2euhstgexoray","female","literal","","","","","",""
