"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"13336","consent.html","external-html","0","13755","0.0-0.0","3327zxheoqx29pp5snrw","female","literal","","","","","",""
"3703","","image-button-response","1","17461","0.0-1.0","3327zxheoqx29pp5snrw","female","literal","check-1.png","1","check1","","",""
"4459","","image-button-response","2","21921","0.0-2.0","3327zxheoqx29pp5snrw","female","literal","check-2.png","2","check2","","",""
"51820","","instructions","3","73742","0.0-3.0","3327zxheoqx29pp5snrw","female","literal","","","","[{""page_index"":0,""viewing_time"":12846},{""page_index"":1,""viewing_time"":28960},{""page_index"":2,""viewing_time"":8355},{""page_index"":3,""viewing_time"":1658}]","",""
"43930","","html-slider-response","4","117673","0.0-4.0","3327zxheoqx29pp5snrw","female","literal","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_fl.png"" class=""main-trial""/>","","trial","","19",""
"37062","","survey-text","5","154737","0.0-5.0","3327zxheoqx29pp5snrw","female","literal","","","description","","","{""Q0"":""she is a young lady who desrbes to live her life to the fullest but cant do that due to the lympma illness""}"
"11046","","survey-likert","6","165784","0.0-6.0-0.0","3327zxheoqx29pp5snrw","female","literal","","","urgent","","","{""Q0"":4}"
"6573","","survey-likert","7","172362","0.0-6.0-1.0","3327zxheoqx29pp5snrw","female","literal","","","sympathy","","","{""Q0"":5}"
"4009","","survey-text","8","176375","0.0-7.0","3327zxheoqx29pp5snrw","female","literal","","","past-donations","","","{""Q0"":""3""}"
"3035","","survey-multi-choice","9","179412","0.0-8.0-0.0","3327zxheoqx29pp5snrw","female","literal","","","self-cancer","","","{""Q0"":""No""}"
"4228","","survey-multi-choice","10","183646","0.0-8.0-1.0","3327zxheoqx29pp5snrw","female","literal","","","ff-cancer","","","{""Q0"":""No""}"
"12499","","survey-multi-choice","11","196155","0.0-9.0","3327zxheoqx29pp5snrw","female","literal","","","demographics","","","{""Q0"":""Female"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$25,000 through $49,999"",""Q3"":""No""}"
"5726","","survey-text","12","201885","0.0-10.0","3327zxheoqx29pp5snrw","female","literal","","","age","","","{""Q0"":""24""}"
"22093","","survey-text","13","223980","0.0-11.0","3327zxheoqx29pp5snrw","female","literal","","","purpose","","","{""Q0"":""how people decide on chairty contributions""}"
"1840","","survey-text","14","225820","0.0-12.0","3327zxheoqx29pp5snrw","female","literal","","","feedback","","","{""Q0"":""""}"
"5789","debrief.html","external-html","15","232721","0.0-13.0","3327zxheoqx29pp5snrw","female","literal","","","","","",""
