"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"11943","consent.html","external-html","0","12122","0.0-0.0","3wfpmytxwo5mmnm4r7t1","female","battle","","","","","",""
"1831","","image-button-response","1","13965","0.0-1.0","3wfpmytxwo5mmnm4r7t1","female","battle","check-1.png","1","check1","","",""
"2476","","image-button-response","2","16450","0.0-2.0","3wfpmytxwo5mmnm4r7t1","female","battle","check-2.png","2","check2","","",""
"39873","","instructions","3","56325","0.0-3.0","3wfpmytxwo5mmnm4r7t1","female","battle","","","","[{""page_index"":0,""viewing_time"":5609},{""page_index"":1,""viewing_time"":21694},{""page_index"":2,""viewing_time"":11391},{""page_index"":3,""viewing_time"":1174}]","",""
"27557","","html-slider-response","4","83891","0.0-4.0","3wfpmytxwo5mmnm4r7t1","female","battle","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_fb.png"" class=""main-trial""/>","","trial","","25",""
"52117","","survey-text","5","136017","0.0-5.0","3wfpmytxwo5mmnm4r7t1","female","battle","","","description","","","{""Q0"":""Jennifer has lymphatic cancer, and she is on chemotherapy. Her family is trying to raise funds on GoFundMe.""}"
"4686","","survey-likert","6","140714","0.0-6.0-0.0","3wfpmytxwo5mmnm4r7t1","female","battle","","","sympathy","","","{""Q0"":4}"
"4527","","survey-likert","7","145256","0.0-6.0-1.0","3wfpmytxwo5mmnm4r7t1","female","battle","","","urgent","","","{""Q0"":5}"
"6175","","survey-text","8","151445","0.0-7.0","3wfpmytxwo5mmnm4r7t1","female","battle","","","past-donations","","","{""Q0"":""5""}"
"2847","","survey-multi-choice","9","154300","0.0-8.0-0.0","3wfpmytxwo5mmnm4r7t1","female","battle","","","ff-cancer","","","{""Q0"":""Yes""}"
"2764","","survey-multi-choice","10","157080","0.0-8.0-1.0","3wfpmytxwo5mmnm4r7t1","female","battle","","","self-cancer","","","{""Q0"":""No""}"
"8785","","survey-multi-choice","11","165900","0.0-9.0","3wfpmytxwo5mmnm4r7t1","female","battle","","","demographics","","","{""Q0"":""Male"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$25,000 through $49,999"",""Q3"":""Yes""}"
"2795","","survey-text","12","168708","0.0-10.0","3wfpmytxwo5mmnm4r7t1","female","battle","","","age","","","{""Q0"":""30""}"
"1412","","survey-text","13","170128","0.0-11.0","3wfpmytxwo5mmnm4r7t1","female","battle","","","purpose","","","{""Q0"":""""}"
"861","","survey-text","14","170995","0.0-12.0","3wfpmytxwo5mmnm4r7t1","female","battle","","","feedback","","","{""Q0"":""""}"
"15955","debrief.html","external-html","15","187248","0.0-13.0","3wfpmytxwo5mmnm4r7t1","female","battle","","","","","",""
