"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"6549","consent.html","external-html","0","6581","0.0-0.0","5f7zx705ce24myh491uo","female","literal","","","","","",""
"1776","","image-button-response","1","8364","0.0-1.0","5f7zx705ce24myh491uo","female","literal","check-1.png","2","check1","","",""
"1470","","image-button-response","2","9838","0.0-2.0","5f7zx705ce24myh491uo","female","literal","check-2.png","2","check2","","",""
"6289","","instructions","3","16129","0.0-3.0","5f7zx705ce24myh491uo","female","literal","","","","[{""page_index"":0,""viewing_time"":1486},{""page_index"":1,""viewing_time"":1540},{""page_index"":2,""viewing_time"":1590},{""page_index"":3,""viewing_time"":1670}]","",""
"5215","","html-slider-response","4","21349","0.0-4.0","5f7zx705ce24myh491uo","female","literal","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_fl.png"" class=""main-trial""/>","","trial","","30",""
"8806","","survey-text","5","30159","0.0-5.0","5f7zx705ce24myh491uo","female","literal","","","description","","","{""Q0"":"" For each sentence, write if the point of view is first person or third person . ... When Jason was old enough, he returned to the kingdom to claim the throne . ... He also came upon his friend Hanuman, King of the Monkeys . ... A 2. Write two details from the story that describe Rama gave up his title of prince ""}"
"4956","","survey-likert","6","35119","0.0-6.0-0.0","5f7zx705ce24myh491uo","female","literal","","","sympathy","","","{""Q0"":5}"
"8567","","survey-likert","7","43691","0.0-6.0-1.0","5f7zx705ce24myh491uo","female","literal","","","urgent","","","{""Q0"":4}"
"9496","","survey-text","8","53190","0.0-7.0","5f7zx705ce24myh491uo","female","literal","","","past-donations","","","{""Q0"":""2""}"
"4130","","survey-multi-choice","9","57330","0.0-8.0-0.0","5f7zx705ce24myh491uo","female","literal","","","self-cancer","","","{""Q0"":""No""}"
"3072","","survey-multi-choice","10","60410","0.0-8.0-1.0","5f7zx705ce24myh491uo","female","literal","","","ff-cancer","","","{""Q0"":""No""}"
"11728","","survey-multi-choice","11","72171","0.0-9.0","5f7zx705ce24myh491uo","female","literal","","","demographics","","","{""Q0"":""Male"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$10,000 through $24,999"",""Q3"":""Yes""}"
"6516","","survey-text","12","78691","0.0-10.0","5f7zx705ce24myh491uo","female","literal","","","age","","","{""Q0"":""44""}"
"46285","","survey-text","13","124979","0.0-11.0","5f7zx705ce24myh491uo","female","literal","","","purpose","","","{""Q0"":""Colleges are dropping the SAT or ACT for admissions, they are ... Tufts University announced a three-year experiment with going test optional. ... kind of college can find a similar college is test optional and have success""}"
"14137","","survey-text","14","139119","0.0-12.0","5f7zx705ce24myh491uo","female","literal","","","feedback","","","{""Q0"":""good survey""}"
"10979","debrief.html","external-html","15","150898","0.0-13.0","5f7zx705ce24myh491uo","female","literal","","","","","",""
