"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"51203","consent.html","external-html","0","51326","0.0-0.0","ah2esxr093sl9ho5trja","female","battle","","","","","",""
"7186","","image-button-response","1","58515","0.0-1.0","ah2esxr093sl9ho5trja","female","battle","check-1.png","1","check1","","",""
"7238","","image-button-response","2","65755","0.0-2.0","ah2esxr093sl9ho5trja","female","battle","check-2.png","2","check2","","",""
"90768","","instructions","3","156523","0.0-3.0","ah2esxr093sl9ho5trja","female","battle","","","","[{""page_index"":0,""viewing_time"":25407},{""page_index"":1,""viewing_time"":50416},{""page_index"":2,""viewing_time"":11936},{""page_index"":3,""viewing_time"":3008}]","",""
"42726","","html-slider-response","4","199251","0.0-4.0","ah2esxr093sl9ho5trja","female","battle","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_fb.png"" class=""main-trial""/>","","trial","","25",""
"81286","","survey-text","5","280538","0.0-5.0","ah2esxr093sl9ho5trja","female","battle","","","description","","","{""Q0"":""Jennifer is suffering from Lymphomia for many years. She needs constant treatment for her condition. ""}"
"10975","","survey-likert","6","291515","0.0-6.0-0.0","ah2esxr093sl9ho5trja","female","battle","","","urgent","","","{""Q0"":4}"
"18172","","survey-likert","7","309714","0.0-6.0-1.0","ah2esxr093sl9ho5trja","female","battle","","","sympathy","","","{""Q0"":4}"
"4724","","survey-text","8","314466","0.0-7.0","ah2esxr093sl9ho5trja","female","battle","","","past-donations","","","{""Q0"":""50""}"
"16102","","survey-multi-choice","9","330570","0.0-8.0-0.0","ah2esxr093sl9ho5trja","female","battle","","","ff-cancer","","","{""Q0"":""Yes""}"
"5900","","survey-multi-choice","10","336498","0.0-8.0-1.0","ah2esxr093sl9ho5trja","female","battle","","","self-cancer","","","{""Q0"":""No""}"
"21693","","survey-multi-choice","11","358227","0.0-9.0","ah2esxr093sl9ho5trja","female","battle","","","demographics","","","{""Q0"":""Female"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$10,000 through $24,999"",""Q3"":""Yes""}"
"7699","","survey-text","12","365954","0.0-10.0","ah2esxr093sl9ho5trja","female","battle","","","age","","","{""Q0"":""48""}"
"11694","","survey-text","13","377650","0.0-11.0","ah2esxr093sl9ho5trja","female","battle","","","purpose","","","{""Q0"":""""}"
"4615","","survey-text","14","382266","0.0-12.0","ah2esxr093sl9ho5trja","female","battle","","","feedback","","","{""Q0"":""""}"
"27292","debrief.html","external-html","15","409963","0.0-13.0","ah2esxr093sl9ho5trja","female","battle","","","","","",""
