"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"34750","consent.html","external-html","0","34889","0.0-0.0","eaqbcm4e9efmfpzr8x8f","female","journey","","","","","",""
"3231","","image-button-response","1","38129","0.0-1.0","eaqbcm4e9efmfpzr8x8f","female","journey","check-1.png","1","check1","","",""
"7520","","image-button-response","2","45652","0.0-2.0","eaqbcm4e9efmfpzr8x8f","female","journey","check-2.png","2","check2","","",""
"58460","","instructions","3","104115","0.0-3.0","eaqbcm4e9efmfpzr8x8f","female","journey","","","","[{""page_index"":0,""viewing_time"":10469},{""page_index"":1,""viewing_time"":27072},{""page_index"":2,""viewing_time"":18389},{""page_index"":3,""viewing_time"":2528}]","",""
"79443","","html-slider-response","4","183564","0.0-4.0","eaqbcm4e9efmfpzr8x8f","female","journey","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_female_journey.png"" class=""main-trial""/>","","trial","","50",""
"56653","","survey-text","5","240222","0.0-5.0","eaqbcm4e9efmfpzr8x8f","female","journey","","","description","","","{""Q0"":""Jennifer has cancer. She is going through expensive and challenging treatments, but she is fighting through it.""}"
"11221","","survey-likert","6","251448","0.0-6.0-0.0","eaqbcm4e9efmfpzr8x8f","female","journey","","","sympathy","","","{""Q0"":5}"
"7841","","survey-likert","7","259295","0.0-6.0-1.0","eaqbcm4e9efmfpzr8x8f","female","journey","","","urgent","","","{""Q0"":5}"
"10188","","survey-text","8","269487","0.0-7.0","eaqbcm4e9efmfpzr8x8f","female","journey","","","past-donations","","","{""Q0"":""2""}"
"6737","","survey-multi-choice","9","276233","0.0-8.0-0.0","eaqbcm4e9efmfpzr8x8f","female","journey","","","ff-cancer","","","{""Q0"":""Yes""}"
"2974","","survey-multi-choice","10","279213","0.0-8.0-1.0","eaqbcm4e9efmfpzr8x8f","female","journey","","","self-cancer","","","{""Q0"":""No""}"
"17838","","survey-multi-choice","11","297077","0.0-9.0","eaqbcm4e9efmfpzr8x8f","female","journey","","","demographics","","","{""Q0"":""Male"",""Q1"":""Doctorate (e.g. PhD, EdD)"",""Q2"":""$25,000 through $49,999"",""Q3"":""Yes""}"
"4511","","survey-text","12","301594","0.0-10.0","eaqbcm4e9efmfpzr8x8f","female","journey","","","age","","","{""Q0"":""34""}"
"47288","","survey-text","13","348885","0.0-11.0","eaqbcm4e9efmfpzr8x8f","female","journey","","","purpose","","","{""Q0"":""Generosity and maybe chance of winning.""}"
"4775","","survey-text","14","353663","0.0-12.0","eaqbcm4e9efmfpzr8x8f","female","journey","","","feedback","","","{""Q0"":""""}"
"83274","debrief.html","external-html","15","437481","0.0-13.0","eaqbcm4e9efmfpzr8x8f","female","journey","","","","","",""
