"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"5570","consent.html","external-html","0","5672","0.0-0.0","jwg72kzb0p0u17v3taxj","female","literal","","","","","",""
"1608","","image-button-response","1","7285","0.0-1.0","jwg72kzb0p0u17v3taxj","female","literal","check-1.png","1","check1","","",""
"1853","","image-button-response","2","9141","0.0-2.0","jwg72kzb0p0u17v3taxj","female","literal","check-2.png","2","check2","","",""
"9997","","instructions","3","19140","0.0-3.0","jwg72kzb0p0u17v3taxj","female","literal","","","","[{""page_index"":0,""viewing_time"":2456},{""page_index"":1,""viewing_time"":5519},{""page_index"":2,""viewing_time"":1334},{""page_index"":3,""viewing_time"":687}]","",""
"11888","","html-slider-response","4","31030","0.0-4.0","jwg72kzb0p0u17v3taxj","female","literal","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_fl.png"" class=""main-trial""/>","","trial","","10",""
"80912","","survey-text","5","111944","0.0-5.0","jwg72kzb0p0u17v3taxj","female","literal","","","description","","","{""Q0"":""Jennifer is going through lymphoma which is a type of cancer. If she's to be treated, it will be a blow to her income. The procedure is costly as well, so she needs as much help as she can get.""}"
"14707","","survey-likert","6","126654","0.0-6.0-0.0","jwg72kzb0p0u17v3taxj","female","literal","","","urgent","","","{""Q0"":4}"
"2411","","survey-likert","7","129068","0.0-6.0-1.0","jwg72kzb0p0u17v3taxj","female","literal","","","sympathy","","","{""Q0"":4}"
"2860","","survey-text","8","131929","0.0-7.0","jwg72kzb0p0u17v3taxj","female","literal","","","past-donations","","","{""Q0"":""2""}"
"1612","","survey-multi-choice","9","133544","0.0-8.0-0.0","jwg72kzb0p0u17v3taxj","female","literal","","","self-cancer","","","{""Q0"":""No""}"
"1577","","survey-multi-choice","10","135124","0.0-8.0-1.0","jwg72kzb0p0u17v3taxj","female","literal","","","ff-cancer","","","{""Q0"":""No""}"
"7459","","survey-multi-choice","11","142591","0.0-9.0","jwg72kzb0p0u17v3taxj","female","literal","","","demographics","","","{""Q0"":""Male"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$25,000 through $49,999"",""Q3"":""Yes""}"
"1836","","survey-text","12","144428","0.0-10.0","jwg72kzb0p0u17v3taxj","female","literal","","","age","","","{""Q0"":""24""}"
"1545","","survey-text","13","145974","0.0-11.0","jwg72kzb0p0u17v3taxj","female","literal","","","purpose","","","{""Q0"":""""}"
"1174","","survey-text","14","147150","0.0-12.0","jwg72kzb0p0u17v3taxj","female","literal","","","feedback","","","{""Q0"":""""}"
"8484","debrief.html","external-html","15","155896","0.0-13.0","jwg72kzb0p0u17v3taxj","female","literal","","","","","",""
