"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"6521","consent.html","external-html","0","6528","0.0-0.0","kb2vusazn0se4kkm0fhb","female","journey","","","","","",""
"5232","","image-button-response","1","11762","0.0-1.0","kb2vusazn0se4kkm0fhb","female","journey","check-1.png","1","check1","","",""
"4636","","image-button-response","2","16400","0.0-2.0","kb2vusazn0se4kkm0fhb","female","journey","check-2.png","2","check2","","",""
"9494","","instructions","3","25894","0.0-3.0","kb2vusazn0se4kkm0fhb","female","journey","","","","[{""page_index"":0,""viewing_time"":4846},{""page_index"":1,""viewing_time"":1625},{""page_index"":2,""viewing_time"":1930},{""page_index"":3,""viewing_time"":1092}]","",""
"7377","","html-slider-response","4","33272","0.0-4.0","kb2vusazn0se4kkm0fhb","female","journey","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_fj.png"" class=""main-trial""/>","","trial","","15",""
"43930","","survey-text","5","77204","0.0-5.0","kb2vusazn0se4kkm0fhb","female","journey","","","description","","","{""Q0"":""very stressful and i think she needs the help of some good people.""}"
"8633","","survey-likert","6","85838","0.0-6.0-0.0","kb2vusazn0se4kkm0fhb","female","journey","","","sympathy","","","{""Q0"":3}"
"9470","","survey-likert","7","95310","0.0-6.0-1.0","kb2vusazn0se4kkm0fhb","female","journey","","","urgent","","","{""Q0"":4}"
"5596","","survey-text","8","100907","0.0-7.0","kb2vusazn0se4kkm0fhb","female","journey","","","past-donations","","","{""Q0"":""1""}"
"4777","","survey-multi-choice","9","105686","0.0-8.0-0.0","kb2vusazn0se4kkm0fhb","female","journey","","","ff-cancer","","","{""Q0"":""Yes""}"
"3366","","survey-multi-choice","10","109054","0.0-8.0-1.0","kb2vusazn0se4kkm0fhb","female","journey","","","self-cancer","","","{""Q0"":""No""}"
"9475","","survey-multi-choice","11","118534","0.0-9.0","kb2vusazn0se4kkm0fhb","female","journey","","","demographics","","","{""Q0"":""Male"",""Q1"":""High school degree or equivalent (e.g. GED)"",""Q2"":""$50,000 through $74,999"",""Q3"":""Yes""}"
"4458","","survey-text","12","122994","0.0-10.0","kb2vusazn0se4kkm0fhb","female","journey","","","age","","","{""Q0"":""44""}"
"5621","","survey-text","13","128616","0.0-11.0","kb2vusazn0se4kkm0fhb","female","journey","","","purpose","","","{""Q0"":""""}"
"2453","","survey-text","14","131069","0.0-12.0","kb2vusazn0se4kkm0fhb","female","journey","","","feedback","","","{""Q0"":""""}"
"3815","debrief.html","external-html","15","134889","0.0-13.0","kb2vusazn0se4kkm0fhb","female","journey","","","","","",""
