"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"34882","consent.html","external-html","0","34949","0.0-0.0","ky6zd00p8nmxw8jr7dgo","male","battle","","","","","",""
"3250","","image-button-response","1","38202","0.0-1.0","ky6zd00p8nmxw8jr7dgo","male","battle","check-1.png","1","check1","","",""
"4889","","image-button-response","2","43094","0.0-2.0","ky6zd00p8nmxw8jr7dgo","male","battle","check-2.png","2","check2","","",""
"61099","","instructions","3","104194","0.0-3.0","ky6zd00p8nmxw8jr7dgo","male","battle","","","","[{""page_index"":0,""viewing_time"":16436},{""page_index"":1,""viewing_time"":23390},{""page_index"":2,""viewing_time"":18791},{""page_index"":3,""viewing_time"":2482}]","",""
"69384","","html-slider-response","4","173581","0.0-4.0","ky6zd00p8nmxw8jr7dgo","male","battle","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_mb.png"" class=""main-trial""/>","","trial","","40",""
"63896","","survey-text","5","237478","0.0-5.0","ky6zd00p8nmxw8jr7dgo","male","battle","","","description","","","{""Q0"":""Jason is battling lymphoma, a type of cancer. He has a long road of treatments ahead of him.""}"
"15151","","survey-likert","6","252632","0.0-6.0-0.0","ky6zd00p8nmxw8jr7dgo","male","battle","","","urgent","","","{""Q0"":5}"
"7146","","survey-likert","7","259778","0.0-6.0-1.0","ky6zd00p8nmxw8jr7dgo","male","battle","","","sympathy","","","{""Q0"":6}"
"9804","","survey-text","8","269583","0.0-7.0","ky6zd00p8nmxw8jr7dgo","male","battle","","","past-donations","","","{""Q0"":""1""}"
"3222","","survey-multi-choice","9","272807","0.0-8.0-0.0","ky6zd00p8nmxw8jr7dgo","male","battle","","","self-cancer","","","{""Q0"":""No""}"
"4522","","survey-multi-choice","10","277330","0.0-8.0-1.0","ky6zd00p8nmxw8jr7dgo","male","battle","","","ff-cancer","","","{""Q0"":""Yes""}"
"41231","","survey-multi-choice","11","318566","0.0-9.0","ky6zd00p8nmxw8jr7dgo","male","battle","","","demographics","","","{""Q0"":""Female"",""Q1"":""Prefer not to say"",""Q2"":""$25,000 through $49,999"",""Q3"":""Yes""}"
"4449","","survey-text","12","323015","0.0-10.0","ky6zd00p8nmxw8jr7dgo","male","battle","","","age","","","{""Q0"":""54""}"
"29631","","survey-text","13","352648","0.0-11.0","ky6zd00p8nmxw8jr7dgo","male","battle","","","purpose","","","{""Q0"":""""}"
"3397","","survey-text","14","356045","0.0-12.0","ky6zd00p8nmxw8jr7dgo","male","battle","","","feedback","","","{""Q0"":""""}"
"47341","debrief.html","external-html","15","403539","0.0-13.0","ky6zd00p8nmxw8jr7dgo","male","battle","","","","","",""
