"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"10879","consent.html","external-html","0","11154","0.0-0.0","mc8xdn3cxowxccn4rmr8","male","battle","","","","","",""
"3425","","image-button-response","1","14591","0.0-1.0","mc8xdn3cxowxccn4rmr8","male","battle","check-1.png","1","check1","","",""
"3788","","image-button-response","2","18386","0.0-2.0","mc8xdn3cxowxccn4rmr8","male","battle","check-2.png","2","check2","","",""
"8066","","instructions","3","26452","0.0-3.0","mc8xdn3cxowxccn4rmr8","male","battle","","","","[{""page_index"":0,""viewing_time"":2338},{""page_index"":1,""viewing_time"":2306},{""page_index"":2,""viewing_time"":1761},{""page_index"":3,""viewing_time"":1658}]","",""
"8552","","html-slider-response","4","35018","0.0-4.0","mc8xdn3cxowxccn4rmr8","male","battle","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_male_battle.png"" class=""main-trial""/>","","trial","","44",""
"43227","","survey-text","5","78246","0.0-5.0","mc8xdn3cxowxccn4rmr8","male","battle","","","description","","","{""Q0"":""WE HAVE TO HELP TO HIM BECAUSE AT WHICH HE NEED A HELP""}"
"4016","","survey-likert","6","82276","0.0-6.0-0.0","mc8xdn3cxowxccn4rmr8","male","battle","","","urgent","","","{""Q0"":5}"
"3072","","survey-likert","7","85356","0.0-6.0-1.0","mc8xdn3cxowxccn4rmr8","male","battle","","","sympathy","","","{""Q0"":5}"
"4717","","survey-text","8","90095","0.0-7.0","mc8xdn3cxowxccn4rmr8","male","battle","","","past-donations","","","{""Q0"":""2""}"
"5587","","survey-multi-choice","9","95698","0.0-8.0-0.0","mc8xdn3cxowxccn4rmr8","male","battle","","","ff-cancer","","","{""Q0"":""Yes""}"
"7204","","survey-multi-choice","10","102911","0.0-8.0-1.0","mc8xdn3cxowxccn4rmr8","male","battle","","","self-cancer","","","{""Q0"":""No""}"
"11020","","survey-multi-choice","11","114007","0.0-9.0","mc8xdn3cxowxccn4rmr8","male","battle","","","demographics","","","{""Q0"":""Female"",""Q1"":""Professional degree (e.g. MD, DDS, DVM)"",""Q2"":""$75,000 through $99,999"",""Q3"":""Yes""}"
"3795","","survey-text","12","117827","0.0-10.0","mc8xdn3cxowxccn4rmr8","male","battle","","","age","","","{""Q0"":""25""}"
"5526","","survey-text","13","123354","0.0-11.0","mc8xdn3cxowxccn4rmr8","male","battle","","","purpose","","","{""Q0"":""""}"
"1833","","survey-text","14","125198","0.0-12.0","mc8xdn3cxowxccn4rmr8","male","battle","","","feedback","","","{""Q0"":""""}"
"4183","debrief.html","external-html","15","130012","0.0-13.0","mc8xdn3cxowxccn4rmr8","male","battle","","","","","",""
