"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"8841","consent.html","external-html","0","9096","0.0-0.0","nm95trnmd34xe8wb80jc","female","literal","","","","","",""
"3232","","image-button-response","1","12340","0.0-1.0","nm95trnmd34xe8wb80jc","female","literal","check-1.png","1","check1","","",""
"2196","","image-button-response","2","14545","0.0-2.0","nm95trnmd34xe8wb80jc","female","literal","check-2.png","2","check2","","",""
"7632","","instructions","3","22179","0.0-3.0","nm95trnmd34xe8wb80jc","female","literal","","","","[{""page_index"":0,""viewing_time"":2156},{""page_index"":1,""viewing_time"":2344},{""page_index"":2,""viewing_time"":1682},{""page_index"":3,""viewing_time"":1446}]","",""
"9301","","html-slider-response","4","31489","0.0-4.0","nm95trnmd34xe8wb80jc","female","literal","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_fl.png"" class=""main-trial""/>","","trial","","37",""
"43964","","survey-text","5","75472","0.0-5.0","nm95trnmd34xe8wb80jc","female","literal","","","description","","","{""Q0"":""JENNIFER IS WRONG SITUATION IN THIS STORY""}"
"4379","","survey-likert","6","79858","0.0-6.0-0.0","nm95trnmd34xe8wb80jc","female","literal","","","sympathy","","","{""Q0"":4}"
"3756","","survey-likert","7","83619","0.0-6.0-1.0","nm95trnmd34xe8wb80jc","female","literal","","","urgent","","","{""Q0"":3}"
"6697","","survey-text","8","90321","0.0-7.0","nm95trnmd34xe8wb80jc","female","literal","","","past-donations","","","{""Q0"":""260""}"
"2625","","survey-multi-choice","9","92962","0.0-8.0-0.0","nm95trnmd34xe8wb80jc","female","literal","","","ff-cancer","","","{""Q0"":""Yes""}"
"5343","","survey-multi-choice","10","98314","0.0-8.0-1.0","nm95trnmd34xe8wb80jc","female","literal","","","self-cancer","","","{""Q0"":""Yes""}"
"8635","","survey-multi-choice","11","106991","0.0-9.0","nm95trnmd34xe8wb80jc","female","literal","","","demographics","","","{""Q0"":""Male"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$50,000 through $74,999"",""Q3"":""Yes""}"
"3748","","survey-text","12","110760","0.0-10.0","nm95trnmd34xe8wb80jc","female","literal","","","age","","","{""Q0"":""26""}"
"4272","","survey-text","13","115037","0.0-11.0","nm95trnmd34xe8wb80jc","female","literal","","","purpose","","","{""Q0"":""GOOD""}"
"15","","survey-text","14","115055","0.0-12.0","nm95trnmd34xe8wb80jc","female","literal","","","feedback","","","{""Q0"":""""}"
"3635","debrief.html","external-html","15","119154","0.0-13.0","nm95trnmd34xe8wb80jc","female","literal","","","","","",""
