"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"14048","consent.html","external-html","0","14146","0.0-0.0","o2ettgpz62ad8fx8c8xl","female","literal","","","","","",""
"2466","","image-button-response","1","16618","0.0-1.0","o2ettgpz62ad8fx8c8xl","female","literal","check-1.png","1","check1","","",""
"4094","","image-button-response","2","20715","0.0-2.0","o2ettgpz62ad8fx8c8xl","female","literal","check-2.png","2","check2","","",""
"43022","","instructions","3","63739","0.0-3.0","o2ettgpz62ad8fx8c8xl","female","literal","","","","[{""page_index"":0,""viewing_time"":4032},{""page_index"":1,""viewing_time"":35011},{""page_index"":2,""viewing_time"":2850},{""page_index"":3,""viewing_time"":1128}]","",""
"20876","","html-slider-response","4","84622","0.0-4.0","o2ettgpz62ad8fx8c8xl","female","literal","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_female_literal.png"" class=""main-trial""/>","","trial","","25",""
"30368","","survey-text","5","114992","0.0-5.0","o2ettgpz62ad8fx8c8xl","female","literal","","","description","","","{""Q0"":""Jennifer will be out of work for cancer treatment.  She will need some financial help at that time.""}"
"7457","","survey-likert","6","122454","0.0-6.0-0.0","o2ettgpz62ad8fx8c8xl","female","literal","","","urgent","","","{""Q0"":5}"
"5230","","survey-likert","7","127687","0.0-6.0-1.0","o2ettgpz62ad8fx8c8xl","female","literal","","","sympathy","","","{""Q0"":5}"
"4560","","survey-text","8","132249","0.0-7.0","o2ettgpz62ad8fx8c8xl","female","literal","","","past-donations","","","{""Q0"":""3""}"
"3277","","survey-multi-choice","9","135533","0.0-8.0-0.0","o2ettgpz62ad8fx8c8xl","female","literal","","","self-cancer","","","{""Q0"":""No""}"
"3323","","survey-multi-choice","10","138861","0.0-8.0-1.0","o2ettgpz62ad8fx8c8xl","female","literal","","","ff-cancer","","","{""Q0"":""Yes""}"
"18772","","survey-multi-choice","11","157648","0.0-9.0","o2ettgpz62ad8fx8c8xl","female","literal","","","demographics","","","{""Q0"":""Female"",""Q1"":""Associate degree (e.g. AA, AS)"",""Q2"":""$50,000 through $74,999"",""Q3"":""Yes""}"
"4240","","survey-text","12","161889","0.0-10.0","o2ettgpz62ad8fx8c8xl","female","literal","","","age","","","{""Q0"":""56""}"
"8530","","survey-text","13","170422","0.0-11.0","o2ettgpz62ad8fx8c8xl","female","literal","","","purpose","","","{""Q0"":""How generous we are.""}"
"4304","","survey-text","14","174728","0.0-12.0","o2ettgpz62ad8fx8c8xl","female","literal","","","feedback","","","{""Q0"":""no""}"
"8932","debrief.html","external-html","15","183941","0.0-13.0","o2ettgpz62ad8fx8c8xl","female","literal","","","","","",""
