"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"3985","consent.html","external-html","0","4052","0.0-0.0","soo7lznf6hfquccuv0wz","female","literal","","","","","",""
"2987","","image-button-response","1","7043","0.0-1.0","soo7lznf6hfquccuv0wz","female","literal","check-1.png","1","check1","","",""
"2741","","image-button-response","2","9786","0.0-2.0","soo7lznf6hfquccuv0wz","female","literal","check-2.png","2","check2","","",""
"54548","","instructions","3","64334","0.0-3.0","soo7lznf6hfquccuv0wz","female","literal","","","","[{""page_index"":0,""viewing_time"":12430},{""page_index"":1,""viewing_time"":35028},{""page_index"":2,""viewing_time"":6005},{""page_index"":3,""viewing_time"":1083}]","",""
"83675","","html-slider-response","4","148012","0.0-4.0","soo7lznf6hfquccuv0wz","female","literal","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_fl.png"" class=""main-trial""/>","","trial","","50",""
"54979","","survey-text","5","202993","0.0-5.0","soo7lznf6hfquccuv0wz","female","literal","","","description","","","{""Q0"":""Jennifer is suffering from type 2 lympho. Any amount of money could help her pay for the treatments since she'll need quite a bit of chemo and radiation to get through it. We should help her out.""}"
"6649","","survey-likert","6","209646","0.0-6.0-0.0","soo7lznf6hfquccuv0wz","female","literal","","","sympathy","","","{""Q0"":6}"
"2827","","survey-likert","7","212475","0.0-6.0-1.0","soo7lznf6hfquccuv0wz","female","literal","","","urgent","","","{""Q0"":6}"
"4107","","survey-text","8","216585","0.0-7.0","soo7lznf6hfquccuv0wz","female","literal","","","past-donations","","","{""Q0"":""0""}"
"4208","","survey-multi-choice","9","220797","0.0-8.0-0.0","soo7lznf6hfquccuv0wz","female","literal","","","ff-cancer","","","{""Q0"":""Yes""}"
"2333","","survey-multi-choice","10","223135","0.0-8.0-1.0","soo7lznf6hfquccuv0wz","female","literal","","","self-cancer","","","{""Q0"":""No""}"
"9058","","survey-multi-choice","11","232207","0.0-9.0","soo7lznf6hfquccuv0wz","female","literal","","","demographics","","","{""Q0"":""Female"",""Q1"":""High school degree or equivalent (e.g. GED)"",""Q2"":""$25,000 through $49,999"",""Q3"":""Yes""}"
"3605","","survey-text","12","235814","0.0-10.0","soo7lznf6hfquccuv0wz","female","literal","","","age","","","{""Q0"":""25""}"
"60824","","survey-text","13","296640","0.0-11.0","soo7lznf6hfquccuv0wz","female","literal","","","purpose","","","{""Q0"":""I think you're testing to see how many people would only donate a little in the hopes that they're the lucky winner. The less someone donates the more money they would receive if they are the lucky winner.""}"
"4871","","survey-text","14","301512","0.0-12.0","soo7lznf6hfquccuv0wz","female","literal","","","feedback","","","{""Q0"":""""}"
"6550","debrief.html","external-html","15","308296","0.0-13.0","soo7lznf6hfquccuv0wz","female","literal","","","","","",""
