"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"31223","consent.html","external-html","0","31356","0.0-0.0","td9a5jyrvbkmdgadrwgh","male","literal","","","","","",""
"2888","","image-button-response","1","34252","0.0-1.0","td9a5jyrvbkmdgadrwgh","male","literal","check-1.png","1","check1","","",""
"3630","","image-button-response","2","37892","0.0-2.0","td9a5jyrvbkmdgadrwgh","male","literal","check-2.png","2","check2","","",""
"45883","","instructions","3","83778","0.0-3.0","td9a5jyrvbkmdgadrwgh","male","literal","","","","[{""page_index"":0,""viewing_time"":9730},{""page_index"":1,""viewing_time"":23940},{""page_index"":2,""viewing_time"":10520},{""page_index"":3,""viewing_time"":1687}]","",""
"75976","","html-slider-response","4","159771","0.0-4.0","td9a5jyrvbkmdgadrwgh","male","literal","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_ml.png"" class=""main-trial""/>","","trial","","50",""
"148815","","survey-text","5","308594","0.0-5.0","td9a5jyrvbkmdgadrwgh","male","literal","","","description","","","{""Q0"":""Jason is a beloved friend who is currently experiencing hardship as a result of his cancer\ndiagnosis. A collection is being taken to help him offset the costs of his continuing treatment.""}"
"10283","","survey-likert","6","318887","0.0-6.0-0.0","td9a5jyrvbkmdgadrwgh","male","literal","","","urgent","","","{""Q0"":5}"
"8426","","survey-likert","7","327324","0.0-6.0-1.0","td9a5jyrvbkmdgadrwgh","male","literal","","","sympathy","","","{""Q0"":6}"
"12494","","survey-text","8","339825","0.0-7.0","td9a5jyrvbkmdgadrwgh","male","literal","","","past-donations","","","{""Q0"":""10""}"
"4350","","survey-multi-choice","9","344187","0.0-8.0-0.0","td9a5jyrvbkmdgadrwgh","male","literal","","","ff-cancer","","","{""Q0"":""Yes""}"
"3483","","survey-multi-choice","10","347682","0.0-8.0-1.0","td9a5jyrvbkmdgadrwgh","male","literal","","","self-cancer","","","{""Q0"":""No""}"
"17364","","survey-multi-choice","11","365077","0.0-9.0","td9a5jyrvbkmdgadrwgh","male","literal","","","demographics","","","{""Q0"":""Female"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$25,000 through $49,999"",""Q3"":""Yes""}"
"5218","","survey-text","12","370303","0.0-10.0","td9a5jyrvbkmdgadrwgh","male","literal","","","age","","","{""Q0"":""65""}"
"122609","","survey-text","13","492918","0.0-11.0","td9a5jyrvbkmdgadrwgh","male","literal","","","purpose","","","{""Q0"":""People's responses to a medical situation requiring outside assistance. Altruism versus personal gain""}"
"44442","","survey-text","14","537365","0.0-12.0","td9a5jyrvbkmdgadrwgh","male","literal","","","feedback","","","{""Q0"":""I hope my survey meets your requirements. Stay safe!""}"
"43920","debrief.html","external-html","15","581816","0.0-13.0","td9a5jyrvbkmdgadrwgh","male","literal","","","","","",""
