"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"13787","consent.html","external-html","0","13955","0.0-0.0","truqk7bo15rexfo6h1jq","female","journey","","","","","",""
"7202","","image-button-response","1","21197","0.0-1.0","truqk7bo15rexfo6h1jq","female","journey","check-1.png","1","check1","","",""
"7884","","image-button-response","2","29088","0.0-2.0","truqk7bo15rexfo6h1jq","female","journey","check-2.png","1","check2","","",""
"31557","","instructions","3","60650","0.0-3.0","truqk7bo15rexfo6h1jq","female","journey","","","","[{""page_index"":0,""viewing_time"":13179},{""page_index"":1,""viewing_time"":12107},{""page_index"":2,""viewing_time"":4280},{""page_index"":3,""viewing_time"":1990}]","",""
"46003","","html-slider-response","4","106664","0.0-4.0","truqk7bo15rexfo6h1jq","female","journey","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_fj.png"" class=""main-trial""/>","","trial","","15",""
"70218","","survey-text","5","176891","0.0-5.0","truqk7bo15rexfo6h1jq","female","journey","","","description","","","{""Q0"":""Jennifer is a student and she adaptable for this situation.""}"
"12983","","survey-likert","6","189884","0.0-6.0-0.0","truqk7bo15rexfo6h1jq","female","journey","","","urgent","","","{""Q0"":2}"
"6195","","survey-likert","7","196088","0.0-6.0-1.0","truqk7bo15rexfo6h1jq","female","journey","","","sympathy","","","{""Q0"":3}"
"8247","","survey-text","8","204341","0.0-7.0","truqk7bo15rexfo6h1jq","female","journey","","","past-donations","","","{""Q0"":""3""}"
"6401","","survey-multi-choice","9","210753","0.0-8.0-0.0","truqk7bo15rexfo6h1jq","female","journey","","","self-cancer","","","{""Q0"":""No""}"
"9945","","survey-multi-choice","10","220711","0.0-8.0-1.0","truqk7bo15rexfo6h1jq","female","journey","","","ff-cancer","","","{""Q0"":""No""}"
"21132","","survey-multi-choice","11","241882","0.0-9.0","truqk7bo15rexfo6h1jq","female","journey","","","demographics","","","{""Q0"":""Male"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$25,000 through $49,999"",""Q3"":""Yes""}"
"6837","","survey-text","12","248728","0.0-10.0","truqk7bo15rexfo6h1jq","female","journey","","","age","","","{""Q0"":""26""}"
"12916","","survey-text","13","261652","0.0-11.0","truqk7bo15rexfo6h1jq","female","journey","","","purpose","","","{""Q0"":""nice study""}"
"3349","","survey-text","14","265008","0.0-12.0","truqk7bo15rexfo6h1jq","female","journey","","","feedback","","","{""Q0"":""""}"
"8620","debrief.html","external-html","15","273810","0.0-13.0","truqk7bo15rexfo6h1jq","female","journey","","","","","",""
