"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"77529","consent.html","external-html","0","77579","0.0-0.0","wyk6cuv8dh3hy33e9l0w","female","journey","","","","","",""
"3181","","image-button-response","1","80763","0.0-1.0","wyk6cuv8dh3hy33e9l0w","female","journey","check-1.png","1","check1","","",""
"3703","","image-button-response","2","84467","0.0-2.0","wyk6cuv8dh3hy33e9l0w","female","journey","check-2.png","2","check2","","",""
"59995","","instructions","3","144464","0.0-3.0","wyk6cuv8dh3hy33e9l0w","female","journey","","","","[{""page_index"":0,""viewing_time"":8179},{""page_index"":1,""viewing_time"":38817},{""page_index"":2,""viewing_time"":11158},{""page_index"":3,""viewing_time"":1841}]","",""
"88159","","html-slider-response","4","232625","0.0-4.0","wyk6cuv8dh3hy33e9l0w","female","journey","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_fj.png"" class=""main-trial""/>","","trial","","20",""
"80370","","survey-text","5","312996","0.0-5.0","wyk6cuv8dh3hy33e9l0w","female","journey","","","description","","","{""Q0"":""Jennifer was diagnosed with cancer (Lymphoma) and her friend is looking to help her with expenses from donations. She would need help with paying for her numerous treatments which include chemotherapy.""}"
"14421","","survey-likert","6","327420","0.0-6.0-0.0","wyk6cuv8dh3hy33e9l0w","female","journey","","","urgent","","","{""Q0"":4}"
"6824","","survey-likert","7","334245","0.0-6.0-1.0","wyk6cuv8dh3hy33e9l0w","female","journey","","","sympathy","","","{""Q0"":5}"
"4623","","survey-text","8","338870","0.0-7.0","wyk6cuv8dh3hy33e9l0w","female","journey","","","past-donations","","","{""Q0"":""0""}"
"5129","","survey-multi-choice","9","344001","0.0-8.0-0.0","wyk6cuv8dh3hy33e9l0w","female","journey","","","ff-cancer","","","{""Q0"":""Yes""}"
"5790","","survey-multi-choice","10","349793","0.0-8.0-1.0","wyk6cuv8dh3hy33e9l0w","female","journey","","","self-cancer","","","{""Q0"":""No""}"
"26835","","survey-multi-choice","11","376634","0.0-9.0","wyk6cuv8dh3hy33e9l0w","female","journey","","","demographics","","","{""Q0"":""Male"",""Q1"":""High school degree or equivalent (e.g. GED)"",""Q2"":""Less than $10,000"",""Q3"":""Yes""}"
"4599","","survey-text","12","381235","0.0-10.0","wyk6cuv8dh3hy33e9l0w","female","journey","","","age","","","{""Q0"":""21""}"
"231128","","survey-text","13","612364","0.0-11.0","wyk6cuv8dh3hy33e9l0w","female","journey","","","purpose","","","{""Q0"":""I'm a third year psychology student at UCLA. My guess was that the purpose of this study was to see how much we would donate if we were also getting some of the money. I think you are either testing to see how much we would donate depending on our chances of winning the raffle or just simply testing how much we would donate if we have a chance at winning any money at all regardless of our relatively low chances. That being said, I tried to remain \""blind\"" to your purposes and tried to provide an honest answer.""}"
"2834","","survey-text","14","615199","0.0-12.0","wyk6cuv8dh3hy33e9l0w","female","journey","","","feedback","","","{""Q0"":""""}"
"58380","debrief.html","external-html","15","673693","0.0-13.0","wyk6cuv8dh3hy33e9l0w","female","journey","","","","","",""
