"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"5701","consent.html","external-html","0","5724","0.0-0.0","yk8lwfsj67lk7r6cm3hq","female","literal","","","","","",""
"3786","","image-button-response","1","9521","0.0-1.0","yk8lwfsj67lk7r6cm3hq","female","literal","check-1.png","1","check1","","",""
"3134","","image-button-response","2","12660","0.0-2.0","yk8lwfsj67lk7r6cm3hq","female","literal","check-2.png","2","check2","","",""
"56733","","instructions","3","69396","0.0-3.0","yk8lwfsj67lk7r6cm3hq","female","literal","","","","[{""page_index"":0,""viewing_time"":14739},{""page_index"":1,""viewing_time"":24738},{""page_index"":2,""viewing_time"":15199},{""page_index"":3,""viewing_time"":2055}]","",""
"112197","","html-slider-response","4","181611","0.0-4.0","yk8lwfsj67lk7r6cm3hq","female","literal","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_fl.png"" class=""main-trial""/>","","trial","","25",""
"95521","","survey-text","5","277143","0.0-5.0","yk8lwfsj67lk7r6cm3hq","female","literal","","","description","","","{""Q0"":""I would describe her situation as heartbreaking. She needs help financially to relieve that burden on her. She needs to focus on staying strong and kicking Cancer's butt. ""}"
"9061","","survey-likert","6","286220","0.0-6.0-0.0","yk8lwfsj67lk7r6cm3hq","female","literal","","","urgent","","","{""Q0"":5}"
"2437","","survey-likert","7","288666","0.0-6.0-1.0","yk8lwfsj67lk7r6cm3hq","female","literal","","","sympathy","","","{""Q0"":6}"
"7195","","survey-text","8","295868","0.0-7.0","yk8lwfsj67lk7r6cm3hq","female","literal","","","past-donations","","","{""Q0"":""4""}"
"4588","","survey-multi-choice","9","300469","0.0-8.0-0.0","yk8lwfsj67lk7r6cm3hq","female","literal","","","ff-cancer","","","{""Q0"":""Yes""}"
"2738","","survey-multi-choice","10","303216","0.0-8.0-1.0","yk8lwfsj67lk7r6cm3hq","female","literal","","","self-cancer","","","{""Q0"":""Yes""}"
"15561","","survey-multi-choice","11","318825","0.0-9.0","yk8lwfsj67lk7r6cm3hq","female","literal","","","demographics","","","{""Q0"":""Female"",""Q1"":""High school degree or equivalent (e.g. GED)"",""Q2"":""$10,000 through $24,999"",""Q3"":""Yes""}"
"3916","","survey-text","12","322746","0.0-10.0","yk8lwfsj67lk7r6cm3hq","female","literal","","","age","","","{""Q0"":""35""}"
"27599","","survey-text","13","350350","0.0-11.0","yk8lwfsj67lk7r6cm3hq","female","literal","","","purpose","","","{""Q0"":""To see how people choose to donate money to individuals in need. ""}"
"3216","","survey-text","14","353572","0.0-12.0","yk8lwfsj67lk7r6cm3hq","female","literal","","","feedback","","","{""Q0"":""""}"
"6399","debrief.html","external-html","15","360475","0.0-13.0","yk8lwfsj67lk7r6cm3hq","female","literal","","","","","",""
