"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"11561","consent.html","external-html","0","11671","0.0-0.0","1dgjf5uedpz5ep5mwa70","male","literal","","","","","",""
"2048","","image-button-response","1","13723","0.0-1.0","1dgjf5uedpz5ep5mwa70","male","literal","check-1.png","1","check1","","",""
"3312","","image-button-response","2","17037","0.0-2.0","1dgjf5uedpz5ep5mwa70","male","literal","check-2.png","2","check2","","",""
"37982","","instructions","3","55019","0.0-3.0","1dgjf5uedpz5ep5mwa70","male","literal","","","","[{""page_index"":0,""viewing_time"":6033},{""page_index"":1,""viewing_time"":24276},{""page_index"":2,""viewing_time"":6600},{""page_index"":3,""viewing_time"":1072}]","",""
"38950","","html-slider-response","4","93971","0.0-4.0","1dgjf5uedpz5ep5mwa70","male","literal","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_ml.png"" class=""main-trial""/>","","trial","","40",""
"59539","","survey-text","5","153511","0.0-5.0","1dgjf5uedpz5ep5mwa70","male","literal","","","description","","","{""Q0"":""Jason has stage 2 lymphoma and has began treatment. He is expected to need additional treatments every 21 days, so his best friend is trying to raise money to help him pay for his medical care.""}"
"7568","","survey-likert","6","161081","0.0-6.0-0.0","1dgjf5uedpz5ep5mwa70","male","literal","","","sympathy","","","{""Q0"":4}"
"2485","","survey-likert","7","163567","0.0-6.0-1.0","1dgjf5uedpz5ep5mwa70","male","literal","","","urgent","","","{""Q0"":6}"
"3567","","survey-text","8","167135","0.0-7.0","1dgjf5uedpz5ep5mwa70","male","literal","","","past-donations","","","{""Q0"":""3""}"
"3967","","survey-multi-choice","9","171105","0.0-8.0-0.0","1dgjf5uedpz5ep5mwa70","male","literal","","","ff-cancer","","","{""Q0"":""Yes""}"
"1659","","survey-multi-choice","10","172767","0.0-8.0-1.0","1dgjf5uedpz5ep5mwa70","male","literal","","","self-cancer","","","{""Q0"":""No""}"
"9790","","survey-multi-choice","11","182564","0.0-9.0","1dgjf5uedpz5ep5mwa70","male","literal","","","demographics","","","{""Q0"":""Male"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$75,000 through $99,999"",""Q3"":""Yes""}"
"2375","","survey-text","12","184941","0.0-10.0","1dgjf5uedpz5ep5mwa70","male","literal","","","age","","","{""Q0"":""22""}"
"3181","","survey-text","13","188123","0.0-11.0","1dgjf5uedpz5ep5mwa70","male","literal","","","purpose","","","{""Q0"":""""}"
"1629","","survey-text","14","189753","0.0-12.0","1dgjf5uedpz5ep5mwa70","male","literal","","","feedback","","","{""Q0"":""""}"
"26630","debrief.html","external-html","15","216670","0.0-13.0","1dgjf5uedpz5ep5mwa70","male","literal","","","","","",""
