"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"20196","consent.html","external-html","0","20427","0.0-0.0","2hwwte80ntmhrrh00mu0","male","literal","","","","","",""
"7304","","image-button-response","1","27739","0.0-1.0","2hwwte80ntmhrrh00mu0","male","literal","check-1.png","1","check1","","",""
"6250","","image-button-response","2","34000","0.0-2.0","2hwwte80ntmhrrh00mu0","male","literal","check-2.png","2","check2","","",""
"16193","","instructions","3","50196","0.0-3.0","2hwwte80ntmhrrh00mu0","male","literal","","","","[{""page_index"":0,""viewing_time"":9595},{""page_index"":1,""viewing_time"":3311},{""page_index"":2,""viewing_time"":1545},{""page_index"":3,""viewing_time"":1738}]","",""
"36258","","html-slider-response","4","86455","0.0-4.0","2hwwte80ntmhrrh00mu0","male","literal","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_ml.png"" class=""main-trial""/>","","trial","","30",""
"63106","","survey-text","5","149572","0.0-5.0","2hwwte80ntmhrrh00mu0","male","literal","","","description","","","{""Q0"":""jason sitution is not bad our donation will help him""}"
"33440","","survey-likert","6","183019","0.0-6.0-0.0","2hwwte80ntmhrrh00mu0","male","literal","","","sympathy","","","{""Q0"":3}"
"7390","","survey-likert","7","190414","0.0-6.0-1.0","2hwwte80ntmhrrh00mu0","male","literal","","","urgent","","","{""Q0"":3}"
"12890","","survey-text","8","203307","0.0-7.0","2hwwte80ntmhrrh00mu0","male","literal","","","past-donations","","","{""Q0"":""3""}"
"7963","","survey-multi-choice","9","211282","0.0-8.0-0.0","2hwwte80ntmhrrh00mu0","male","literal","","","ff-cancer","","","{""Q0"":""Yes""}"
"6123","","survey-multi-choice","10","217414","0.0-8.0-1.0","2hwwte80ntmhrrh00mu0","male","literal","","","self-cancer","","","{""Q0"":""No""}"
"14205","","survey-multi-choice","11","231652","0.0-9.0","2hwwte80ntmhrrh00mu0","male","literal","","","demographics","","","{""Q0"":""Male"",""Q1"":""Master’s degree (e.g. MA, MS, MEd)"",""Q2"":""$25,000 through $49,999"",""Q3"":""Yes""}"
"21632","","survey-text","12","253289","0.0-10.0","2hwwte80ntmhrrh00mu0","male","literal","","","age","","","{""Q0"":""41""}"
"18764","","survey-text","13","272060","0.0-11.0","2hwwte80ntmhrrh00mu0","male","literal","","","purpose","","","{""Q0"":""nothing""}"
"3877","","survey-text","14","275939","0.0-12.0","2hwwte80ntmhrrh00mu0","male","literal","","","feedback","","","{""Q0"":""""}"
"18476","debrief.html","external-html","15","294859","0.0-13.0","2hwwte80ntmhrrh00mu0","male","literal","","","","","",""
