"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"8965","consent.html","external-html","0","9065","0.0-0.0","2jd73h8jj5gol2lbzd7u","male","journey","","","","","",""
"2118","","image-button-response","1","11186","0.0-1.0","2jd73h8jj5gol2lbzd7u","male","journey","check-1.png","1","check1","","",""
"2649","","image-button-response","2","13836","0.0-2.0","2jd73h8jj5gol2lbzd7u","male","journey","check-2.png","2","check2","","",""
"15541","","instructions","3","29378","0.0-3.0","2jd73h8jj5gol2lbzd7u","male","journey","","","","[{""page_index"":0,""viewing_time"":3278},{""page_index"":1,""viewing_time"":8479},{""page_index"":2,""viewing_time"":2932},{""page_index"":3,""viewing_time"":851}]","",""
"7863","","html-slider-response","4","37244","0.0-4.0","2jd73h8jj5gol2lbzd7u","male","journey","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_male_journey.png"" class=""main-trial""/>","","trial","","0",""
"13700","","survey-text","5","50946","0.0-5.0","2jd73h8jj5gol2lbzd7u","male","journey","","","description","","","{""Q0"":""He needs help for medical expenses""}"
"4110","","survey-likert","6","55057","0.0-6.0-0.0","2jd73h8jj5gol2lbzd7u","male","journey","","","sympathy","","","{""Q0"":4}"
"1815","","survey-likert","7","56873","0.0-6.0-1.0","2jd73h8jj5gol2lbzd7u","male","journey","","","urgent","","","{""Q0"":4}"
"3360","","survey-text","8","60234","0.0-7.0","2jd73h8jj5gol2lbzd7u","male","journey","","","past-donations","","","{""Q0"":""2""}"
"2564","","survey-multi-choice","9","62801","0.0-8.0-0.0","2jd73h8jj5gol2lbzd7u","male","journey","","","self-cancer","","","{""Q0"":""No""}"
"2185","","survey-multi-choice","10","64990","0.0-8.0-1.0","2jd73h8jj5gol2lbzd7u","male","journey","","","ff-cancer","","","{""Q0"":""Yes""}"
"6685","","survey-multi-choice","11","71683","0.0-9.0","2jd73h8jj5gol2lbzd7u","male","journey","","","demographics","","","{""Q0"":""Female"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$50,000 through $74,999"",""Q3"":""Yes""}"
"3197","","survey-text","12","74881","0.0-10.0","2jd73h8jj5gol2lbzd7u","male","journey","","","age","","","{""Q0"":""22""}"
"1742","","survey-text","13","76624","0.0-11.0","2jd73h8jj5gol2lbzd7u","male","journey","","","purpose","","","{""Q0"":""""}"
"145","","survey-text","14","76770","0.0-12.0","2jd73h8jj5gol2lbzd7u","male","journey","","","feedback","","","{""Q0"":""""}"
"12794","debrief.html","external-html","15","89846","0.0-13.0","2jd73h8jj5gol2lbzd7u","male","journey","","","","","",""
