"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"56134","consent.html","external-html","0","56258","0.0-0.0","37rhq5dk876scdo7s16l","male","journey","","","","","",""
"3465","","image-button-response","1","59726","0.0-1.0","37rhq5dk876scdo7s16l","male","journey","check-1.png","1","check1","","",""
"5911","","image-button-response","2","65638","0.0-2.0","37rhq5dk876scdo7s16l","male","journey","check-2.png","2","check2","","",""
"53158","","instructions","3","118797","0.0-3.0","37rhq5dk876scdo7s16l","male","journey","","","","[{""page_index"":0,""viewing_time"":11486},{""page_index"":1,""viewing_time"":27936},{""page_index"":2,""viewing_time"":11103},{""page_index"":3,""viewing_time"":2633}]","",""
"86485","","html-slider-response","4","205285","0.0-4.0","37rhq5dk876scdo7s16l","male","journey","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_mj.png"" class=""main-trial""/>","","trial","","45",""
"107790","","survey-text","5","313076","0.0-5.0","37rhq5dk876scdo7s16l","male","journey","","","description","","","{""Q0"":""A Stage II lymphoma patient, diagnosed after a difficult thyroid operation, is in need of monetary support in order to maintain the best quality of life possible in the coming months.""}"
"19935","","survey-likert","6","333014","0.0-6.0-0.0","37rhq5dk876scdo7s16l","male","journey","","","urgent","","","{""Q0"":4}"
"4613","","survey-likert","7","337628","0.0-6.0-1.0","37rhq5dk876scdo7s16l","male","journey","","","sympathy","","","{""Q0"":6}"
"49440","","survey-text","8","387069","0.0-7.0","37rhq5dk876scdo7s16l","male","journey","","","past-donations","","","{""Q0"":""26""}"
"5180","","survey-multi-choice","9","392253","0.0-8.0-0.0","37rhq5dk876scdo7s16l","male","journey","","","ff-cancer","","","{""Q0"":""Yes""}"
"3757","","survey-multi-choice","10","396013","0.0-8.0-1.0","37rhq5dk876scdo7s16l","male","journey","","","self-cancer","","","{""Q0"":""No""}"
"29496","","survey-multi-choice","11","425518","0.0-9.0","37rhq5dk876scdo7s16l","male","journey","","","demographics","","","{""Q0"":""Female"",""Q1"":""High school degree or equivalent (e.g. GED)"",""Q2"":""$10,000 through $24,999"",""Q3"":""Yes""}"
"12229","","survey-text","12","437749","0.0-10.0","37rhq5dk876scdo7s16l","male","journey","","","age","","","{""Q0"":""58""}"
"70437","","survey-text","13","508188","0.0-11.0","37rhq5dk876scdo7s16l","male","journey","","","purpose","","","{""Q0"":""To find whether potential personal gain affects compassion and/or charitable giving.""}"
"1911","","survey-text","14","510099","0.0-12.0","37rhq5dk876scdo7s16l","male","journey","","","feedback","","","{""Q0"":""""}"
"86969","debrief.html","external-html","15","597470","0.0-13.0","37rhq5dk876scdo7s16l","male","journey","","","","","",""
