"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"84571","consent.html","external-html","0","85265","0.0-0.0","58d7c86m1ch0as11n52t","female","literal","","","","","",""
"2924","","image-button-response","1","88201","0.0-1.0","58d7c86m1ch0as11n52t","female","literal","check-1.png","1","check1","","",""
"3033","","image-button-response","2","91241","0.0-2.0","58d7c86m1ch0as11n52t","female","literal","check-2.png","2","check2","","",""
"40065","","instructions","3","131308","0.0-3.0","58d7c86m1ch0as11n52t","female","literal","","","","[{""page_index"":0,""viewing_time"":6799},{""page_index"":1,""viewing_time"":21682},{""page_index"":2,""viewing_time"":9688},{""page_index"":3,""viewing_time"":1892}]","",""
"49274","","html-slider-response","4","180595","0.0-4.0","58d7c86m1ch0as11n52t","female","literal","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_fl.png"" class=""main-trial""/>","","trial","","40",""
"87317","","survey-text","5","267918","0.0-5.0","58d7c86m1ch0as11n52t","female","literal","","","description","","","{""Q0"":""It is a terrible situation to  be in. She is a fighter and wants to overcome it""}"
"9003","","survey-likert","6","276930","0.0-6.0-0.0","58d7c86m1ch0as11n52t","female","literal","","","sympathy","","","{""Q0"":6}"
"36820","","survey-likert","7","313757","0.0-6.0-1.0","58d7c86m1ch0as11n52t","female","literal","","","urgent","","","{""Q0"":6}"
"7866","","survey-text","8","321629","0.0-7.0","58d7c86m1ch0as11n52t","female","literal","","","past-donations","","","{""Q0"":""3""}"
"7465","","survey-multi-choice","9","329105","0.0-8.0-0.0","58d7c86m1ch0as11n52t","female","literal","","","ff-cancer","","","{""Q0"":""No""}"
"3484","","survey-multi-choice","10","332600","0.0-8.0-1.0","58d7c86m1ch0as11n52t","female","literal","","","self-cancer","","","{""Q0"":""No""}"
"14327","","survey-multi-choice","11","346977","0.0-9.0","58d7c86m1ch0as11n52t","female","literal","","","demographics","","","{""Q0"":""Female"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$50,000 through $74,999"",""Q3"":""Yes""}"
"6559","","survey-text","12","353544","0.0-10.0","58d7c86m1ch0as11n52t","female","literal","","","age","","","{""Q0"":""60""}"
"35897","","survey-text","13","389451","0.0-11.0","58d7c86m1ch0as11n52t","female","literal","","","purpose","","","{""Q0"":""my reception to someone in dire need""}"
"2385","","survey-text","14","391841","0.0-12.0","58d7c86m1ch0as11n52t","female","literal","","","feedback","","","{""Q0"":""""}"
"19178","debrief.html","external-html","15","413406","0.0-13.0","58d7c86m1ch0as11n52t","female","literal","","","","","",""
