"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"7711","consent.html","external-html","0","7992","0.0-0.0","71yqrl5yk6srbzn454cp","male","journey","","","","","",""
"7261","","image-button-response","1","15259","0.0-1.0","71yqrl5yk6srbzn454cp","male","journey","check-1.png","2","check1","","",""
"3514","","image-button-response","2","18775","0.0-2.0","71yqrl5yk6srbzn454cp","male","journey","check-2.png","1","check2","","",""
"10309","","instructions","3","29085","0.0-3.0","71yqrl5yk6srbzn454cp","male","journey","","","","[{""page_index"":0,""viewing_time"":4969},{""page_index"":1,""viewing_time"":2080},{""page_index"":2,""viewing_time"":1429},{""page_index"":3,""viewing_time"":1830}]","",""
"5848","","html-slider-response","4","34934","0.0-4.0","71yqrl5yk6srbzn454cp","male","journey","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_mj.png"" class=""main-trial""/>","","trial","","39",""
"14546","","survey-text","5","49483","0.0-5.0","71yqrl5yk6srbzn454cp","male","journey","","","description","","","{""Q0"":""DIFFICULT SITUATION""}"
"4568","","survey-likert","6","54053","0.0-6.0-0.0","71yqrl5yk6srbzn454cp","male","journey","","","urgent","","","{""Q0"":4}"
"3203","","survey-likert","7","57258","0.0-6.0-1.0","71yqrl5yk6srbzn454cp","male","journey","","","sympathy","","","{""Q0"":4}"
"4157","","survey-text","8","61417","0.0-7.0","71yqrl5yk6srbzn454cp","male","journey","","","past-donations","","","{""Q0"":""2""}"
"2478","","survey-multi-choice","9","63897","0.0-8.0-0.0","71yqrl5yk6srbzn454cp","male","journey","","","self-cancer","","","{""Q0"":""Yes""}"
"2237","","survey-multi-choice","10","66137","0.0-8.0-1.0","71yqrl5yk6srbzn454cp","male","journey","","","ff-cancer","","","{""Q0"":""Yes""}"
"8873","","survey-multi-choice","11","75016","0.0-9.0","71yqrl5yk6srbzn454cp","male","journey","","","demographics","","","{""Q0"":""Male"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""Less than $10,000"",""Q3"":""Yes""}"
"4078","","survey-text","12","79096","0.0-10.0","71yqrl5yk6srbzn454cp","male","journey","","","age","","","{""Q0"":""27""}"
"17596","","survey-text","13","96694","0.0-11.0","71yqrl5yk6srbzn454cp","male","journey","","","purpose","","","{""Q0"":""GOOD THINKS""}"
"4079","","survey-text","14","100774","0.0-12.0","71yqrl5yk6srbzn454cp","male","journey","","","feedback","","","{""Q0"":""GOOD""}"
"7521","debrief.html","external-html","15","108935","0.0-13.0","71yqrl5yk6srbzn454cp","male","journey","","","","","",""
