"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"36294","consent.html","external-html","0","36427","0.0-0.0","aw1np7l38j6t02mrsemq","male","literal","","","","","",""
"2237","","image-button-response","1","38669","0.0-1.0","aw1np7l38j6t02mrsemq","male","literal","check-1.png","1","check1","","",""
"3050","","image-button-response","2","41721","0.0-2.0","aw1np7l38j6t02mrsemq","male","literal","check-2.png","2","check2","","",""
"80811","","instructions","3","122533","0.0-3.0","aw1np7l38j6t02mrsemq","male","literal","","","","[{""page_index"":0,""viewing_time"":4155},{""page_index"":1,""viewing_time"":21704},{""page_index"":2,""viewing_time"":5803},{""page_index"":3,""viewing_time"":49149}]","",""
"66662","","html-slider-response","4","189198","0.0-4.0","aw1np7l38j6t02mrsemq","male","literal","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_male_literal.png"" class=""main-trial""/>","","trial","","20",""
"23908","","survey-text","5","213109","0.0-5.0","aw1np7l38j6t02mrsemq","male","literal","","","description","","","{""Q0"":""Jason has cancer and will need a great deal of money to help out with his treatments. ""}"
"4483","","survey-likert","6","217596","0.0-6.0-0.0","aw1np7l38j6t02mrsemq","male","literal","","","urgent","","","{""Q0"":6}"
"2536","","survey-likert","7","220135","0.0-6.0-1.0","aw1np7l38j6t02mrsemq","male","literal","","","sympathy","","","{""Q0"":6}"
"2917","","survey-text","8","223055","0.0-7.0","aw1np7l38j6t02mrsemq","male","literal","","","past-donations","","","{""Q0"":""0""}"
"4361","","survey-multi-choice","9","227421","0.0-8.0-0.0","aw1np7l38j6t02mrsemq","male","literal","","","ff-cancer","","","{""Q0"":""Yes""}"
"2961","","survey-multi-choice","10","230388","0.0-8.0-1.0","aw1np7l38j6t02mrsemq","male","literal","","","self-cancer","","","{""Q0"":""No""}"
"13148","","survey-multi-choice","11","243556","0.0-9.0","aw1np7l38j6t02mrsemq","male","literal","","","demographics","","","{""Q0"":""Female"",""Q1"":""Associate degree (e.g. AA, AS)"",""Q2"":""$50,000 through $74,999"",""Q3"":""Yes""}"
"2673","","survey-text","12","246232","0.0-10.0","aw1np7l38j6t02mrsemq","male","literal","","","age","","","{""Q0"":""37""}"
"6643","","survey-text","13","252876","0.0-11.0","aw1np7l38j6t02mrsemq","male","literal","","","purpose","","","{""Q0"":""sympathy""}"
"2843","","survey-text","14","255721","0.0-12.0","aw1np7l38j6t02mrsemq","male","literal","","","feedback","","","{""Q0"":""""}"
"7748","debrief.html","external-html","15","263764","0.0-13.0","aw1np7l38j6t02mrsemq","male","literal","","","","","",""
