"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"34084","consent.html","external-html","0","34457","0.0-0.0","dlfrkb4oa78t6cgxhkat","male","battle","","","","","",""
"6018","","image-button-response","1","40484","0.0-1.0","dlfrkb4oa78t6cgxhkat","male","battle","check-1.png","1","check1","","",""
"11369","","image-button-response","2","51857","0.0-2.0","dlfrkb4oa78t6cgxhkat","male","battle","check-2.png","1","check2","","",""
"19730","","instructions","3","71590","0.0-3.0","dlfrkb4oa78t6cgxhkat","male","battle","","","","[{""page_index"":0,""viewing_time"":12291},{""page_index"":1,""viewing_time"":3087},{""page_index"":2,""viewing_time"":2472},{""page_index"":3,""viewing_time"":1879}]","",""
"19274","","html-slider-response","4","90868","0.0-4.0","dlfrkb4oa78t6cgxhkat","male","battle","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_mb.png"" class=""main-trial""/>","","trial","","50",""
"91059","","survey-text","5","181931","0.0-5.0","dlfrkb4oa78t6cgxhkat","male","battle","","","description","","","{""Q0"":""there is a good friend help full friend""}"
"16665","","survey-likert","6","198601","0.0-6.0-0.0","dlfrkb4oa78t6cgxhkat","male","battle","","","sympathy","","","{""Q0"":6}"
"7899","","survey-likert","7","206505","0.0-6.0-1.0","dlfrkb4oa78t6cgxhkat","male","battle","","","urgent","","","{""Q0"":5}"
"14288","","survey-text","8","220797","0.0-7.0","dlfrkb4oa78t6cgxhkat","male","battle","","","past-donations","","","{""Q0"":""2""}"
"7042","","survey-multi-choice","9","227847","0.0-8.0-0.0","dlfrkb4oa78t6cgxhkat","male","battle","","","self-cancer","","","{""Q0"":""Prefer not to say""}"
"15895","","survey-multi-choice","10","243746","0.0-8.0-1.0","dlfrkb4oa78t6cgxhkat","male","battle","","","ff-cancer","","","{""Q0"":""Yes""}"
"26021","","survey-multi-choice","11","269786","0.0-9.0","dlfrkb4oa78t6cgxhkat","male","battle","","","demographics","","","{""Q0"":""Female"",""Q1"":""Master’s degree (e.g. MA, MS, MEd)"",""Q2"":""Less than $10,000"",""Q3"":""Yes""}"
"63399","","survey-text","12","333190","0.0-10.0","dlfrkb4oa78t6cgxhkat","male","battle","","","age","","","{""Q0"":""1974""}"
"26408","","survey-text","13","359601","0.0-11.0","dlfrkb4oa78t6cgxhkat","male","battle","","","purpose","","","{""Q0"":""the really good survey""}"
"58296","","survey-text","14","417900","0.0-12.0","dlfrkb4oa78t6cgxhkat","male","battle","","","feedback","","","{""Q0"":""the reading passage very easy super survey""}"
"11678","debrief.html","external-html","15","432012","0.0-13.0","dlfrkb4oa78t6cgxhkat","male","battle","","","","","",""
