"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"62023","consent.html","external-html","0","62172","0.0-0.0","dvoehbw2jfw4rn7845fu","male","battle","","","","","",""
"4578","","image-button-response","1","66755","0.0-1.0","dvoehbw2jfw4rn7845fu","male","battle","check-1.png","1","check1","","",""
"4820","","image-button-response","2","71578","0.0-2.0","dvoehbw2jfw4rn7845fu","male","battle","check-2.png","2","check2","","",""
"55200","","instructions","3","126779","0.0-3.0","dvoehbw2jfw4rn7845fu","male","battle","","","","[{""page_index"":0,""viewing_time"":12448},{""page_index"":1,""viewing_time"":29755},{""page_index"":2,""viewing_time"":11592},{""page_index"":3,""viewing_time"":1404}]","",""
"88917","","html-slider-response","4","215701","0.0-4.0","dvoehbw2jfw4rn7845fu","male","battle","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_mb.png"" class=""main-trial""/>","","trial","","0",""
"48854","","survey-text","5","264559","0.0-5.0","dvoehbw2jfw4rn7845fu","male","battle","","","description","","","{""Q0"":""Battling cancer and his best friend started a crowdfunding page to help with expenses.""}"
"9198","","survey-likert","6","273761","0.0-6.0-0.0","dvoehbw2jfw4rn7845fu","male","battle","","","sympathy","","","{""Q0"":3}"
"3833","","survey-likert","7","277597","0.0-6.0-1.0","dvoehbw2jfw4rn7845fu","male","battle","","","urgent","","","{""Q0"":3}"
"3340","","survey-text","8","280940","0.0-7.0","dvoehbw2jfw4rn7845fu","male","battle","","","past-donations","","","{""Q0"":""0""}"
"3166","","survey-multi-choice","9","284111","0.0-8.0-0.0","dvoehbw2jfw4rn7845fu","male","battle","","","ff-cancer","","","{""Q0"":""Yes""}"
"2952","","survey-multi-choice","10","287066","0.0-8.0-1.0","dvoehbw2jfw4rn7845fu","male","battle","","","self-cancer","","","{""Q0"":""No""}"
"11665","","survey-multi-choice","11","298745","0.0-9.0","dvoehbw2jfw4rn7845fu","male","battle","","","demographics","","","{""Q0"":""Male"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$25,000 through $49,999"",""Q3"":""Yes""}"
"3703","","survey-text","12","302451","0.0-10.0","dvoehbw2jfw4rn7845fu","male","battle","","","age","","","{""Q0"":""29""}"
"6998","","survey-text","13","309451","0.0-11.0","dvoehbw2jfw4rn7845fu","male","battle","","","purpose","","","{""Q0"":""""}"
"1790","","survey-text","14","311243","0.0-12.0","dvoehbw2jfw4rn7845fu","male","battle","","","feedback","","","{""Q0"":""""}"
"61608","debrief.html","external-html","15","373307","0.0-13.0","dvoehbw2jfw4rn7845fu","male","battle","","","","","",""
