"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"47179","consent.html","external-html","0","47354","0.0-0.0","gpchxoauu42nof1zfegc","male","literal","","","","","",""
"1776","","image-button-response","1","49133","0.0-1.0","gpchxoauu42nof1zfegc","male","literal","check-1.png","1","check1","","",""
"2998","","image-button-response","2","52133","0.0-2.0","gpchxoauu42nof1zfegc","male","literal","check-2.png","2","check2","","",""
"60893","","instructions","3","113027","0.0-3.0","gpchxoauu42nof1zfegc","male","literal","","","","[{""page_index"":0,""viewing_time"":9137},{""page_index"":1,""viewing_time"":43864},{""page_index"":2,""viewing_time"":6462},{""page_index"":3,""viewing_time"":1430}]","",""
"65018","","html-slider-response","4","178050","0.0-4.0","gpchxoauu42nof1zfegc","male","literal","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_ml.png"" class=""main-trial""/>","","trial","","50",""
"73421","","survey-text","5","251474","0.0-5.0","gpchxoauu42nof1zfegc","male","literal","","","description","","","{""Q0"":""Jason's friend is undergoing multiple rounds of chemo.""}"
"12070","","survey-likert","6","263548","0.0-6.0-0.0","gpchxoauu42nof1zfegc","male","literal","","","sympathy","","","{""Q0"":4}"
"9733","","survey-likert","7","273283","0.0-6.0-1.0","gpchxoauu42nof1zfegc","male","literal","","","urgent","","","{""Q0"":3}"
"6978","","survey-text","8","280263","0.0-7.0","gpchxoauu42nof1zfegc","male","literal","","","past-donations","","","{""Q0"":""4""}"
"2850","","survey-multi-choice","9","283117","0.0-8.0-0.0","gpchxoauu42nof1zfegc","male","literal","","","self-cancer","","","{""Q0"":""No""}"
"2569","","survey-multi-choice","10","285690","0.0-8.0-1.0","gpchxoauu42nof1zfegc","male","literal","","","ff-cancer","","","{""Q0"":""Yes""}"
"11670","","survey-multi-choice","11","297367","0.0-9.0","gpchxoauu42nof1zfegc","male","literal","","","demographics","","","{""Q0"":""Male"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$50,000 through $74,999"",""Q3"":""Yes""}"
"3971","","survey-text","12","301340","0.0-10.0","gpchxoauu42nof1zfegc","male","literal","","","age","","","{""Q0"":""36""}"
"84440","","survey-text","13","385780","0.0-11.0","gpchxoauu42nof1zfegc","male","literal","","","purpose","","","{""Q0"":""Gauging the level of sympathy, generosity, and willingness to donate to charities or situations when we have already experienced something similar in our lifetimes.""}"
"2395","","survey-text","14","388177","0.0-12.0","gpchxoauu42nof1zfegc","male","literal","","","feedback","","","{""Q0"":""""}"
"14417","debrief.html","external-html","15","402880","0.0-13.0","gpchxoauu42nof1zfegc","male","literal","","","","","",""
