"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"27626","consent.html","external-html","0","27714","0.0-0.0","gwadv3f3esyotm4e8mo5","female","literal","","","","","",""
"3539","","image-button-response","1","31255","0.0-1.0","gwadv3f3esyotm4e8mo5","female","literal","check-1.png","1","check1","","",""
"4449","","image-button-response","2","35705","0.0-2.0","gwadv3f3esyotm4e8mo5","female","literal","check-2.png","2","check2","","",""
"51640","","instructions","3","87345","0.0-3.0","gwadv3f3esyotm4e8mo5","female","literal","","","","[{""page_index"":0,""viewing_time"":11914},{""page_index"":1,""viewing_time"":24047},{""page_index"":2,""viewing_time"":13598},{""page_index"":3,""viewing_time"":2081}]","",""
"98645","","html-slider-response","4","185991","0.0-4.0","gwadv3f3esyotm4e8mo5","female","literal","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_fl.png"" class=""main-trial""/>","","trial","","20",""
"28721","","survey-text","5","214713","0.0-5.0","gwadv3f3esyotm4e8mo5","female","literal","","","description","","","{""Q0"":""she has a very bad disease and needs chemo""}"
"11157","","survey-likert","6","225871","0.0-6.0-0.0","gwadv3f3esyotm4e8mo5","female","literal","","","sympathy","","","{""Q0"":5}"
"3984","","survey-likert","7","229857","0.0-6.0-1.0","gwadv3f3esyotm4e8mo5","female","literal","","","urgent","","","{""Q0"":5}"
"6747","","survey-text","8","236605","0.0-7.0","gwadv3f3esyotm4e8mo5","female","literal","","","past-donations","","","{""Q0"":""0""}"
"5688","","survey-multi-choice","9","242295","0.0-8.0-0.0","gwadv3f3esyotm4e8mo5","female","literal","","","ff-cancer","","","{""Q0"":""Yes""}"
"3294","","survey-multi-choice","10","245591","0.0-8.0-1.0","gwadv3f3esyotm4e8mo5","female","literal","","","self-cancer","","","{""Q0"":""No""}"
"15809","","survey-multi-choice","11","261407","0.0-9.0","gwadv3f3esyotm4e8mo5","female","literal","","","demographics","","","{""Q0"":""Female"",""Q1"":""Associate degree (e.g. AA, AS)"",""Q2"":""$10,000 through $24,999"",""Q3"":""Yes""}"
"5930","","survey-text","12","267339","0.0-10.0","gwadv3f3esyotm4e8mo5","female","literal","","","age","","","{""Q0"":""66""}"
"12132","","survey-text","13","279471","0.0-11.0","gwadv3f3esyotm4e8mo5","female","literal","","","purpose","","","{""Q0"":""donations""}"
"7212","","survey-text","14","286683","0.0-12.0","gwadv3f3esyotm4e8mo5","female","literal","","","feedback","","","{""Q0"":""none""}"
"89094","debrief.html","external-html","15","376037","0.0-13.0","gwadv3f3esyotm4e8mo5","female","literal","","","","","",""
