"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"155592","consent.html","external-html","0","155753","0.0-0.0","jwr3hsuh7mklzkpwaj3e","female","battle","","","","","",""
"7261","","image-button-response","1","163019","0.0-1.0","jwr3hsuh7mklzkpwaj3e","female","battle","check-1.png","1","check1","","",""
"3376","","image-button-response","2","166397","0.0-2.0","jwr3hsuh7mklzkpwaj3e","female","battle","check-2.png","2","check2","","",""
"6934","","instructions","3","173332","0.0-3.0","jwr3hsuh7mklzkpwaj3e","female","battle","","","","[{""page_index"":0,""viewing_time"":3173},{""page_index"":1,""viewing_time"":1435},{""page_index"":2,""viewing_time"":1125},{""page_index"":3,""viewing_time"":1200}]","",""
"50720","","html-slider-response","4","224055","0.0-4.0","jwr3hsuh7mklzkpwaj3e","female","battle","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_fb.png"" class=""main-trial""/>","","trial","","41",""
"54572","","survey-text","5","278629","0.0-5.0","jwr3hsuh7mklzkpwaj3e","female","battle","","","description","","","{""Q0"":""She is in very Crucila Situvation. ""}"
"6245","","survey-likert","6","284876","0.0-6.0-0.0","jwr3hsuh7mklzkpwaj3e","female","battle","","","urgent","","","{""Q0"":4}"
"34824","","survey-likert","7","319702","0.0-6.0-1.0","jwr3hsuh7mklzkpwaj3e","female","battle","","","sympathy","","","{""Q0"":3}"
"29811","","survey-text","8","349514","0.0-7.0","jwr3hsuh7mklzkpwaj3e","female","battle","","","past-donations","","","{""Q0"":""60""}"
"13655","","survey-multi-choice","9","363174","0.0-8.0-0.0","jwr3hsuh7mklzkpwaj3e","female","battle","","","ff-cancer","","","{""Q0"":""No""}"
"12430","","survey-multi-choice","10","375608","0.0-8.0-1.0","jwr3hsuh7mklzkpwaj3e","female","battle","","","self-cancer","","","{""Q0"":""No""}"
"36261","","survey-multi-choice","11","411888","0.0-9.0","jwr3hsuh7mklzkpwaj3e","female","battle","","","demographics","","","{""Q0"":""Male"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""More than $150,000"",""Q3"":""Yes""}"
"10613","","survey-text","12","422503","0.0-10.0","jwr3hsuh7mklzkpwaj3e","female","battle","","","age","","","{""Q0"":""32""}"
"761346","","survey-text","13","1183850","0.0-11.0","jwr3hsuh7mklzkpwaj3e","female","battle","","","purpose","","","{""Q0"":""An testing experiment is a test tht involves manipulating some factor in a system in order to see how that affects the outcome. ideally experiment also involve controlling as many other""}"
"52018","","survey-text","14","1235870","0.0-12.0","jwr3hsuh7mklzkpwaj3e","female","battle","","","feedback","","","{""Q0"":""It is possible in order to isolate the cause of the experimental results""}"
"14594","debrief.html","external-html","15","1251063","0.0-13.0","jwr3hsuh7mklzkpwaj3e","female","battle","","","","","",""
