"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"10357","consent.html","external-html","0","10637","0.0-0.0","lvuugyqawnl7q1xmpdl6","male","journey","","","","","",""
"6605","","image-button-response","1","17246","0.0-1.0","lvuugyqawnl7q1xmpdl6","male","journey","check-1.png","2","check1","","",""
"3972","","image-button-response","2","21219","0.0-2.0","lvuugyqawnl7q1xmpdl6","male","journey","check-2.png","1","check2","","",""
"7911","","instructions","3","29131","0.0-3.0","lvuugyqawnl7q1xmpdl6","male","journey","","","","[{""page_index"":0,""viewing_time"":1589},{""page_index"":1,""viewing_time"":2310},{""page_index"":2,""viewing_time"":1220},{""page_index"":3,""viewing_time"":2791}]","",""
"4537","","html-slider-response","4","33669","0.0-4.0","lvuugyqawnl7q1xmpdl6","male","journey","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_mj.png"" class=""main-trial""/>","","trial","","25",""
"31397","","survey-text","5","65069","0.0-5.0","lvuugyqawnl7q1xmpdl6","male","journey","","","description","","","{""Q0"":""Jason lay there for a few minutes not knowing what to say. Then he ... The whole situation shouldbea happy onefor both of them, but he kind of felt the same way.""}"
"3678","","survey-likert","6","68750","0.0-6.0-0.0","lvuugyqawnl7q1xmpdl6","male","journey","","","urgent","","","{""Q0"":5}"
"8297","","survey-likert","7","77048","0.0-6.0-1.0","lvuugyqawnl7q1xmpdl6","male","journey","","","sympathy","","","{""Q0"":3}"
"6928","","survey-text","8","83979","0.0-7.0","lvuugyqawnl7q1xmpdl6","male","journey","","","past-donations","","","{""Q0"":""5""}"
"5299","","survey-multi-choice","9","89281","0.0-8.0-0.0","lvuugyqawnl7q1xmpdl6","male","journey","","","self-cancer","","","{""Q0"":""No""}"
"13703","","survey-multi-choice","10","102989","0.0-8.0-1.0","lvuugyqawnl7q1xmpdl6","male","journey","","","ff-cancer","","","{""Q0"":""No""}"
"17526","","survey-multi-choice","11","120530","0.0-9.0","lvuugyqawnl7q1xmpdl6","male","journey","","","demographics","","","{""Q0"":""Male"",""Q1"":""Master’s degree (e.g. MA, MS, MEd)"",""Q2"":""$75,000 through $99,999"",""Q3"":""Yes""}"
"8826","","survey-text","12","129359","0.0-10.0","lvuugyqawnl7q1xmpdl6","male","journey","","","age","","","{""Q0"":""32""}"
"9153","","survey-text","13","138514","0.0-11.0","lvuugyqawnl7q1xmpdl6","male","journey","","","purpose","","","{""Q0"":""Good""}"
"11613","","survey-text","14","150128","0.0-12.0","lvuugyqawnl7q1xmpdl6","male","journey","","","feedback","","","{""Q0"":""Good""}"
"10093","debrief.html","external-html","15","160920","0.0-13.0","lvuugyqawnl7q1xmpdl6","male","journey","","","","","",""
