"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"7529","consent.html","external-html","0","7562","0.0-0.0","netl0a20jm5w1cz5zqbf","male","battle","","","","","",""
"6402","","image-button-response","1","13969","0.0-1.0","netl0a20jm5w1cz5zqbf","male","battle","check-1.png","1","check1","","",""
"6867","","image-button-response","2","20839","0.0-2.0","netl0a20jm5w1cz5zqbf","male","battle","check-2.png","2","check2","","",""
"12369","","instructions","3","33209","0.0-3.0","netl0a20jm5w1cz5zqbf","male","battle","","","","[{""page_index"":0,""viewing_time"":5165},{""page_index"":1,""viewing_time"":3354},{""page_index"":2,""viewing_time"":2208},{""page_index"":3,""viewing_time"":1641}]","",""
"7302","","html-slider-response","4","40516","0.0-4.0","netl0a20jm5w1cz5zqbf","male","battle","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_male_battle.png"" class=""main-trial""/>","","trial","","34",""
"117810","","survey-text","5","158329","0.0-5.0","netl0a20jm5w1cz5zqbf","male","battle","","","description","","","{""Q0"":""feel good""}"
"3458","","survey-likert","6","161790","0.0-6.0-0.0","netl0a20jm5w1cz5zqbf","male","battle","","","sympathy","","","{""Q0"":4}"
"3940","","survey-likert","7","165733","0.0-6.0-1.0","netl0a20jm5w1cz5zqbf","male","battle","","","urgent","","","{""Q0"":3}"
"5603","","survey-text","8","171339","0.0-7.0","netl0a20jm5w1cz5zqbf","male","battle","","","past-donations","","","{""Q0"":""2""}"
"6551","","survey-multi-choice","9","177894","0.0-8.0-0.0","netl0a20jm5w1cz5zqbf","male","battle","","","ff-cancer","","","{""Q0"":""No""}"
"3829","","survey-multi-choice","10","181729","0.0-8.0-1.0","netl0a20jm5w1cz5zqbf","male","battle","","","self-cancer","","","{""Q0"":""No""}"
"10437","","survey-multi-choice","11","192177","0.0-9.0","netl0a20jm5w1cz5zqbf","male","battle","","","demographics","","","{""Q0"":""Female"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$25,000 through $49,999"",""Q3"":""Yes""}"
"4525","","survey-text","12","196703","0.0-10.0","netl0a20jm5w1cz5zqbf","male","battle","","","age","","","{""Q0"":""24""}"
"2693","","survey-text","13","199398","0.0-11.0","netl0a20jm5w1cz5zqbf","male","battle","","","purpose","","","{""Q0"":""""}"
"1535","","survey-text","14","200935","0.0-12.0","netl0a20jm5w1cz5zqbf","male","battle","","","feedback","","","{""Q0"":""""}"
"16753","debrief.html","external-html","15","217737","0.0-13.0","netl0a20jm5w1cz5zqbf","male","battle","","","","","",""
