"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"13286","consent.html","external-html","0","13405","0.0-0.0","p3d053ftj24teal0l5al","male","battle","","","","","",""
"28373","","image-button-response","1","41781","0.0-1.0","p3d053ftj24teal0l5al","male","battle","check-1.png","1","check1","","",""
"9437","","image-button-response","2","51220","0.0-2.0","p3d053ftj24teal0l5al","male","battle","check-2.png","0","check2","","",""
"246265","","instructions","3","297485","0.0-3.0","p3d053ftj24teal0l5al","male","battle","","","","[{""page_index"":0,""viewing_time"":230996},{""page_index"":1,""viewing_time"":7200},{""page_index"":2,""viewing_time"":5630},{""page_index"":3,""viewing_time"":2438}]","",""
"26327","","html-slider-response","4","323814","0.0-4.0","p3d053ftj24teal0l5al","male","battle","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_mb.png"" class=""main-trial""/>","","trial","","32",""
"58516","","survey-text","5","382332","0.0-5.0","p3d053ftj24teal0l5al","male","battle","","","description","","","{""Q0"":""Jason's was affected in cancer. So, I feel very sad.""}"
"9017","","survey-likert","6","391352","0.0-6.0-0.0","p3d053ftj24teal0l5al","male","battle","","","sympathy","","","{""Q0"":5}"
"7062","","survey-likert","7","398417","0.0-6.0-1.0","p3d053ftj24teal0l5al","male","battle","","","urgent","","","{""Q0"":5}"
"15718","","survey-text","8","414136","0.0-7.0","p3d053ftj24teal0l5al","male","battle","","","past-donations","","","{""Q0"":""10""}"
"18485","","survey-multi-choice","9","432625","0.0-8.0-0.0","p3d053ftj24teal0l5al","male","battle","","","self-cancer","","","{""Q0"":""Yes""}"
"7406","","survey-multi-choice","10","440034","0.0-8.0-1.0","p3d053ftj24teal0l5al","male","battle","","","ff-cancer","","","{""Q0"":""Yes""}"
"40033","","survey-multi-choice","11","480076","0.0-9.0","p3d053ftj24teal0l5al","male","battle","","","demographics","","","{""Q0"":""Male"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$50,000 through $74,999"",""Q3"":""Yes""}"
"7899","","survey-text","12","487979","0.0-10.0","p3d053ftj24teal0l5al","male","battle","","","age","","","{""Q0"":""25""}"
"43906","","survey-text","13","531886","0.0-11.0","p3d053ftj24teal0l5al","male","battle","","","purpose","","","{""Q0"":""""}"
"14971","","survey-text","14","546859","0.0-12.0","p3d053ftj24teal0l5al","male","battle","","","feedback","","","{""Q0"":""""}"
"62193","debrief.html","external-html","15","609498","0.0-13.0","p3d053ftj24teal0l5al","male","battle","","","","","",""
