"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"33238","consent.html","external-html","0","33508","0.0-0.0","pa5a6jvl35gp8y6091kn","male","battle","","","","","",""
"6749","","image-button-response","1","40267","0.0-1.0","pa5a6jvl35gp8y6091kn","male","battle","check-1.png","1","check1","","",""
"6405","","image-button-response","2","46676","0.0-2.0","pa5a6jvl35gp8y6091kn","male","battle","check-2.png","2","check2","","",""
"64560","","instructions","3","111237","0.0-3.0","pa5a6jvl35gp8y6091kn","male","battle","","","","[{""page_index"":0,""viewing_time"":22907},{""page_index"":1,""viewing_time"":16874},{""page_index"":2,""viewing_time"":7555},{""page_index"":1,""viewing_time"":2497},{""page_index"":0,""viewing_time"":5012},{""page_index"":1,""viewing_time"":2742},{""page_index"":2,""viewing_time"":4470},{""page_index"":3,""viewing_time"":2500}]","",""
"56834","","html-slider-response","4","168074","0.0-4.0","pa5a6jvl35gp8y6091kn","male","battle","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_mb.png"" class=""main-trial""/>","","trial","","40",""
"120784","","survey-text","5","288872","0.0-5.0","pa5a6jvl35gp8y6091kn","male","battle","","","description","","","{""Q0"":""jason is an critical situation. he has cancer but have not enough money to cure the disease.  please the help the person to live in the world.""}"
"12303","","survey-likert","6","301178","0.0-6.0-0.0","pa5a6jvl35gp8y6091kn","male","battle","","","sympathy","","","{""Q0"":4}"
"8748","","survey-likert","7","309948","0.0-6.0-1.0","pa5a6jvl35gp8y6091kn","male","battle","","","urgent","","","{""Q0"":5}"
"16024","","survey-text","8","325979","0.0-7.0","pa5a6jvl35gp8y6091kn","male","battle","","","past-donations","","","{""Q0"":""7""}"
"11162","","survey-multi-choice","9","337144","0.0-8.0-0.0","pa5a6jvl35gp8y6091kn","male","battle","","","self-cancer","","","{""Q0"":""No""}"
"5494","","survey-multi-choice","10","342638","0.0-8.0-1.0","pa5a6jvl35gp8y6091kn","male","battle","","","ff-cancer","","","{""Q0"":""Yes""}"
"32922","","survey-multi-choice","11","375564","0.0-9.0","pa5a6jvl35gp8y6091kn","male","battle","","","demographics","","","{""Q0"":""Male"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$25,000 through $49,999"",""Q3"":""Yes""}"
"8131","","survey-text","12","383700","0.0-10.0","pa5a6jvl35gp8y6091kn","male","battle","","","age","","","{""Q0"":""37""}"
"68794","","survey-text","13","452498","0.0-11.0","pa5a6jvl35gp8y6091kn","male","battle","","","purpose","","","{""Q0"":""it understand that 'how to help the person who affected by cancer or any disorder'.""}"
"16928","","survey-text","14","469432","0.0-12.0","pa5a6jvl35gp8y6091kn","male","battle","","","feedback","","","{""Q0"":""good one""}"
"55410","debrief.html","external-html","15","525709","0.0-13.0","pa5a6jvl35gp8y6091kn","male","battle","","","","","",""
