"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"857535","consent.html","external-html","0","857854","0.0-0.0","pmeg7r0r6spk07qn7j00","female","journey","","","","","",""
"1977","","image-button-response","1","859835","0.0-1.0","pmeg7r0r6spk07qn7j00","female","journey","check-1.png","1","check1","","",""
"1087","","image-button-response","2","860924","0.0-2.0","pmeg7r0r6spk07qn7j00","female","journey","check-2.png","2","check2","","",""
"11639","","instructions","3","872564","0.0-3.0","pmeg7r0r6spk07qn7j00","female","journey","","","","[{""page_index"":0,""viewing_time"":1294},{""page_index"":1,""viewing_time"":8076},{""page_index"":2,""viewing_time"":1412},{""page_index"":3,""viewing_time"":856}]","",""
"6844","","html-slider-response","4","879411","0.0-4.0","pmeg7r0r6spk07qn7j00","female","journey","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_female_journey.png"" class=""main-trial""/>","","trial","","0",""
"10818","","survey-text","5","890232","0.0-5.0","pmeg7r0r6spk07qn7j00","female","journey","","","description","","","{""Q0"":""she has a serious medical condition and needs help""}"
"3275","","survey-likert","6","893508","0.0-6.0-0.0","pmeg7r0r6spk07qn7j00","female","journey","","","sympathy","","","{""Q0"":4}"
"2978","","survey-likert","7","896506","0.0-6.0-1.0","pmeg7r0r6spk07qn7j00","female","journey","","","urgent","","","{""Q0"":5}"
"3027","","survey-text","8","899552","0.0-7.0","pmeg7r0r6spk07qn7j00","female","journey","","","past-donations","","","{""Q0"":""50""}"
"2157","","survey-multi-choice","9","901712","0.0-8.0-0.0","pmeg7r0r6spk07qn7j00","female","journey","","","self-cancer","","","{""Q0"":""No""}"
"2111","","survey-multi-choice","10","903844","0.0-8.0-1.0","pmeg7r0r6spk07qn7j00","female","journey","","","ff-cancer","","","{""Q0"":""No""}"
"5382","","survey-multi-choice","11","909250","0.0-9.0","pmeg7r0r6spk07qn7j00","female","journey","","","demographics","","","{""Q0"":""Male"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$50,000 through $74,999"",""Q3"":""Yes""}"
"2207","","survey-text","12","911475","0.0-10.0","pmeg7r0r6spk07qn7j00","female","journey","","","age","","","{""Q0"":""26""}"
"3544","","survey-text","13","915021","0.0-11.0","pmeg7r0r6spk07qn7j00","female","journey","","","purpose","","","{""Q0"":""""}"
"1325","","survey-text","14","916347","0.0-12.0","pmeg7r0r6spk07qn7j00","female","journey","","","feedback","","","{""Q0"":""""}"
"1508","debrief.html","external-html","15","917946","0.0-13.0","pmeg7r0r6spk07qn7j00","female","journey","","","","","",""
