"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"4913","consent.html","external-html","0","4998","0.0-0.0","xm9aau87dgfkf9hojkdb","male","literal","","","","","",""
"1844","","image-button-response","1","6847","0.0-1.0","xm9aau87dgfkf9hojkdb","male","literal","check-1.png","1","check1","","",""
"3236","","image-button-response","2","10090","0.0-2.0","xm9aau87dgfkf9hojkdb","male","literal","check-2.png","2","check2","","",""
"31036","","instructions","3","41129","0.0-3.0","xm9aau87dgfkf9hojkdb","male","literal","","","","[{""page_index"":0,""viewing_time"":8523},{""page_index"":1,""viewing_time"":13963},{""page_index"":2,""viewing_time"":7267},{""page_index"":3,""viewing_time"":1282}]","",""
"36463","","html-slider-response","4","77600","0.0-4.0","xm9aau87dgfkf9hojkdb","male","literal","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_ml.png"" class=""main-trial""/>","","trial","","50",""
"64339","","survey-text","5","141944","0.0-5.0","xm9aau87dgfkf9hojkdb","male","literal","","","description","","","{""Q0"":""Jason was diagnosed with cancer and has to undergo many treatments. He could use donations to help pay for the cost of treatments. ""}"
"5890","","survey-likert","6","147841","0.0-6.0-0.0","xm9aau87dgfkf9hojkdb","male","literal","","","urgent","","","{""Q0"":4}"
"4048","","survey-likert","7","151908","0.0-6.0-1.0","xm9aau87dgfkf9hojkdb","male","literal","","","sympathy","","","{""Q0"":6}"
"12514","","survey-text","8","164445","0.0-7.0","xm9aau87dgfkf9hojkdb","male","literal","","","past-donations","","","{""Q0"":""1""}"
"9326","","survey-multi-choice","9","173779","0.0-8.0-0.0","xm9aau87dgfkf9hojkdb","male","literal","","","ff-cancer","","","{""Q0"":""No""}"
"2016","","survey-multi-choice","10","175828","0.0-8.0-1.0","xm9aau87dgfkf9hojkdb","male","literal","","","self-cancer","","","{""Q0"":""No""}"
"9874","","survey-multi-choice","11","185732","0.0-9.0","xm9aau87dgfkf9hojkdb","male","literal","","","demographics","","","{""Q0"":""Female"",""Q1"":""High school degree or equivalent (e.g. GED)"",""Q2"":""Less than $10,000"",""Q3"":""Yes""}"
"4382","","survey-text","12","190132","0.0-10.0","xm9aau87dgfkf9hojkdb","male","literal","","","age","","","{""Q0"":""28""}"
"2843","","survey-text","13","192980","0.0-11.0","xm9aau87dgfkf9hojkdb","male","literal","","","purpose","","","{""Q0"":""""}"
"1247","","survey-text","14","194230","0.0-12.0","xm9aau87dgfkf9hojkdb","male","literal","","","feedback","","","{""Q0"":""""}"
"9659","debrief.html","external-html","15","204487","0.0-13.0","xm9aau87dgfkf9hojkdb","male","literal","","","","","",""
